rank,layer_idx,head_idx,importance_score
1,31,14,1.656906
2,31,23,0.864448
3,0,2,0.807406
4,28,26,0.802043
5,0,3,0.751402
6,0,31,0.737592
7,0,0,0.736500
8,0,1,0.735611
9,5,4,0.709488
10,2,21,0.709132
11,0,12,0.702423
12,12,12,0.701893
13,25,23,0.696566
14,1,7,0.693769
15,25,22,0.688785
16,31,7,0.684234
17,25,6,0.683552
18,1,6,0.682975
19,31,16,0.680213
20,25,7,0.673786
21,14,26,0.672553
22,25,12,0.672210
23,31,25,0.668633
24,30,18,0.665835
25,25,5,0.665346
26,0,29,0.662874
27,31,18,0.662597
28,3,4,0.660589
29,31,21,0.654081
30,31,5,0.650761
31,27,29,0.650599
32,30,22,0.647311
33,0,6,0.646571
34,26,31,0.645363
35,25,4,0.645353
36,25,20,0.644871
37,31,19,0.642534
38,5,16,0.641752
39,15,30,0.641387
40,24,22,0.640155
41,20,8,0.638850
42,1,20,0.638708
43,31,6,0.637477
44,25,13,0.635825
45,1,12,0.635216
46,2,23,0.632495
47,24,30,0.631822
48,29,8,0.629435
49,4,14,0.629407
50,27,14,0.629132
51,31,24,0.627106
52,31,17,0.623847
53,2,16,0.622628
54,17,11,0.622551
55,19,7,0.620661
56,27,22,0.618949
57,21,7,0.616559
58,27,4,0.616060
59,1,4,0.615317
60,15,7,0.614774
61,4,12,0.614340
62,31,30,0.614204
63,25,15,0.613733
64,21,10,0.613669
65,1,24,0.613598
66,29,26,0.612831
67,20,29,0.612621
68,21,4,0.612177
69,23,15,0.611335
70,2,22,0.611074
71,23,30,0.610629
72,17,18,0.608872
73,25,14,0.608578
74,28,5,0.608306
75,29,27,0.607167
76,31,28,0.606629
77,16,29,0.606472
78,23,31,0.603731
79,22,16,0.603560
80,28,27,0.603531
81,30,23,0.603034
82,31,11,0.602058
83,16,31,0.601786
84,24,29,0.600545
85,31,22,0.600472
86,21,5,0.599221
87,20,7,0.598804
88,24,17,0.598266
89,20,28,0.596399
90,21,29,0.596116
91,27,28,0.595123
92,24,13,0.593145
93,4,9,0.591863
94,16,28,0.591717
95,31,4,0.590983
96,27,31,0.589993
97,19,8,0.589094
98,22,19,0.588972
99,28,22,0.588761
100,21,6,0.586699
101,15,1,0.586680
102,25,19,0.586535
103,23,28,0.585504
104,23,12,0.585489
105,28,13,0.585389
106,30,17,0.584969
107,24,31,0.584659
108,2,12,0.584482
109,31,20,0.584019
110,25,1,0.583962
111,5,25,0.582597
112,30,19,0.579683
113,24,28,0.579399
114,1,21,0.578922
115,1,18,0.578240
116,1,5,0.576580
117,31,12,0.574653
118,2,26,0.574521
119,0,16,0.573898
120,2,25,0.573793
121,2,7,0.572768
122,2,10,0.572451
123,15,0,0.571951
124,1,17,0.571010
125,2,18,0.570512
126,22,31,0.569006
127,23,13,0.568775
128,1,26,0.568533
129,23,16,0.568310
130,4,13,0.568212
131,23,29,0.568107
132,8,1,0.568100
133,2,13,0.566595
134,23,23,0.566481
135,6,9,0.566075
136,22,17,0.565841
137,21,9,0.565331
138,12,0,0.564576
139,2,8,0.563727
140,23,0,0.563690
141,1,19,0.563143
142,17,13,0.562096
143,8,11,0.561920
