rank,layer_idx,head_idx,importance_score
1,31,14,52.190639
2,0,12,32.077936
3,0,3,30.426502
4,0,2,29.476809
5,0,1,28.957555
6,28,26,27.236564
7,0,31,26.866142
8,0,0,26.650124
9,31,23,26.404464
10,0,6,25.256463
11,0,29,25.162246
12,12,12,24.885092
13,0,16,24.285318
14,5,4,24.085982
15,14,26,23.854650
16,1,6,23.844261
17,15,30,23.730138
18,0,7,23.651210
19,1,7,23.225117
20,2,21,22.555180
21,0,20,22.014346
22,3,4,21.857067
23,5,16,21.823224
24,30,18,21.819542
25,25,7,21.812781
26,15,1,21.780102
27,15,2,21.767405
28,15,7,21.715484
29,25,6,21.683956
30,25,12,21.587386
31,30,22,21.573248
32,31,16,21.564477
33,25,23,21.300880
34,20,7,21.265446
35,25,22,21.210464
36,17,11,21.207733
37,16,29,21.188606
38,26,31,21.148179
39,31,7,21.127643
40,25,4,21.069826
41,25,5,21.020291
42,31,19,20.992457
43,16,31,20.862831
44,1,12,20.785688
45,1,20,20.769466
46,24,22,20.763121
47,13,29,20.757113
48,31,21,20.716690
49,1,4,20.714002
50,31,17,20.705830
51,29,8,20.673231
52,16,28,20.665885
53,0,11,20.621031
54,30,23,20.610857
55,20,8,20.595803
56,4,14,20.569684
57,12,0,20.565771
58,31,25,20.541494
59,20,29,20.503024
60,8,1,20.477762
61,17,18,20.457306
62,27,29,20.452134
63,2,23,20.438222
64,25,13,20.423450
65,27,28,20.400409
66,27,22,20.289223
67,15,16,20.252393
68,27,14,20.242902
69,21,10,20.194055
70,31,6,20.175569
71,8,4,20.154218
72,21,4,20.153971
73,27,4,20.150989
74,21,7,20.144435
75,19,8,20.121260
76,0,18,20.099104
77,4,12,20.062466
78,2,16,20.058047
79,25,20,20.047860
80,7,1,20.042826
81,1,24,20.022391
82,20,28,20.010061
83,31,11,19.925811
84,31,18,19.922699
85,8,6,19.913808
86,22,19,19.911439
87,0,17,19.867507
88,24,30,19.858575
89,4,9,19.832050
90,15,0,19.827906
91,2,22,19.793981
92,19,7,19.783866
93,13,22,19.780846
94,30,19,19.751717
95,5,25,19.738193
96,25,15,19.720496
97,31,24,19.705745
98,21,5,19.698760
99,15,27,19.650439
100,23,15,19.649118
101,22,16,19.649073
102,12,19,19.636616
103,31,30,19.632254
104,25,14,19.606813
105,16,22,19.580633
106,6,9,19.576733
107,8,20,19.546663
108,31,5,19.542886
109,12,15,19.515694
110,31,28,19.509688
111,4,13,19.502185
112,29,26,19.497765
113,16,30,19.444254
114,24,17,19.418020
115,7,2,19.414698
116,19,15,19.392471
117,31,22,19.384652
118,24,29,19.370287
119,15,4,19.367956
120,8,11,19.364614
121,28,27,19.323720
122,16,3,19.317084
123,29,27,19.292919
124,23,30,19.275222
125,17,15,19.275058
126,2,12,19.255780
127,28,13,19.252326
128,17,3,19.245029
129,17,30,19.219341
130,14,8,19.217504
131,23,31,19.205311
132,21,29,19.173348
133,17,13,19.163838
134,28,22,19.135638
135,6,13,19.135341
136,28,5,19.135104
137,17,8,19.133003
138,8,22,19.132206
139,10,14,19.117081
140,21,6,19.113454
141,24,31,19.094496
142,24,13,19.089991
143,17,20,19.080840
144,10,9,19.080416
145,4,23,19.073011
146,7,5,19.066180
147,1,5,19.046658
148,2,25,19.031928
149,22,17,18.980430
150,0,24,18.944823
151,1,18,18.939156
152,17,4,18.938704
153,11,31,18.933870
154,14,11,18.917911
155,23,12,18.909029
156,27,31,18.902655
157,30,10,18.901760
158,1,21,18.892239
159,10,11,18.871828
160,8,5,18.870678
161,17,5,18.837916
162,21,14,18.826887
163,1,3,18.805614
164,25,3,18.804874
165,15,12,18.767537
166,16,17,18.763638
167,22,31,18.761968
168,30,17,18.760856
169,12,2,18.750937
170,7,20,18.744207
171,1,17,18.700758
172,18,0,18.695551
173,15,28,18.695500
174,23,28,18.666024
175,16,20,18.649866
176,13,24,18.642491
177,1,19,18.635012
178,7,17,18.628408
179,30,25,18.584961
180,1,26,18.505096
181,14,23,18.501546
182,10,30,18.495748
183,28,19,18.486676
184,6,12,18.472600
185,3,15,18.464604
186,4,25,18.457205
187,6,15,18.450495
188,0,10,18.439123
189,2,10,18.438683
190,28,12,18.417526
191,31,20,18.413989
192,30,28,18.402119
193,2,26,18.394765
194,15,5,18.388058
195,28,9,18.376260
196,14,10,18.363425
197,24,27,18.337100
198,30,29,18.336272
199,7,11,18.320525
200,10,25,18.317983
201,9,11,18.304766
202,27,13,18.265093
203,1,30,18.254315
204,11,8,18.242026
205,24,28,18.238270
206,24,21,18.231089
207,12,29,18.226690
208,24,12,18.214743
209,25,19,18.205181
210,18,26,18.201159
211,24,19,18.165694
212,30,21,18.165157
213,4,15,18.150114
214,16,4,18.131952
215,17,19,18.126086
216,24,18,18.116867
217,21,9,18.112049
218,19,22,18.091542
219,1,13,18.091490
220,2,18,18.089111
221,19,30,18.087822
222,3,5,18.061767
223,23,13,18.058790
224,27,6,18.048659
225,4,24,18.045940
226,23,16,18.043578
227,14,9,18.042131
228,5,17,18.027931
229,25,0,18.022353
230,2,7,18.007543
231,4,2,18.004826
232,27,20,17.991637
233,16,23,17.982672
234,23,29,17.977111
235,22,3,17.972728
236,21,31,17.971401
237,23,23,17.963192
238,22,30,17.954221
239,26,30,17.954069
240,11,10,17.951574
241,3,18,17.951319
242,17,7,17.939952
243,1,15,17.931325
244,2,13,17.920921
245,24,20,17.913353
246,6,30,17.903008
247,31,12,17.894871
248,3,16,17.881177
249,18,14,17.869202
250,6,16,17.868656
251,15,26,17.862595
252,2,20,17.860818
253,5,12,17.843611
254,19,10,17.843594
255,12,17,17.824413
256,21,0,17.804935
257,1,16,17.804338
258,25,1,17.795746
259,18,18,17.792255
260,12,28,17.790803
261,18,30,17.784959
262,7,27,17.757368
263,17,17,17.756257
264,21,30,17.740983
265,26,17,17.734355
266,10,8,17.731071
267,24,16,17.722214
268,5,11,17.720518
269,8,23,17.702282
270,3,26,17.698264
271,29,20,17.694686
272,10,27,17.693304
273,29,31,17.693041
274,29,21,17.685684
275,21,28,17.683561
276,2,8,17.680168
277,16,21,17.663636
278,18,25,17.635612
279,4,17,17.623422
280,12,16,17.622428
281,17,14,17.622304
282,3,21,17.607860
283,26,12,17.606037
284,6,6,17.605331
285,30,3,17.602778
286,30,9,17.602290
287,20,9,17.599113
288,16,8,17.594831
289,4,20,17.594731
290,24,25,17.593590
291,19,12,17.588264
292,5,31,17.575619
293,6,23,17.571696
294,30,0,17.558683
295,23,0,17.547049
296,1,1,17.544161
297,19,21,17.543196
298,2,27,17.539630
299,27,9,17.531137
300,26,15,17.521504
301,31,26,17.506654
302,21,19,17.503700
303,15,11,17.503638
304,1,23,17.503485
305,29,22,17.497646
306,26,23,17.493687
307,4,7,17.489606
308,31,4,17.488814
309,29,29,17.485003
310,28,7,17.482957
311,30,13,17.482650
312,15,6,17.481368
313,26,3,17.477938
314,3,24,17.466641
315,27,12,17.465788
316,18,15,17.464859
317,13,31,17.464707
318,12,13,17.460138
319,4,27,17.452711
320,19,9,17.447744
321,28,31,17.446693
322,9,15,17.434133
323,10,29,17.432188
324,21,12,17.427217
325,12,18,17.406591
326,6,10,17.404382
327,20,21,17.402545
328,15,3,17.379020
329,18,11,17.374254
330,31,0,17.370559
331,3,3,17.365666
332,10,16,17.362658
333,31,2,17.362216
334,15,31,17.361166
335,24,24,17.359585
336,6,8,17.359422
337,11,19,17.358636
338,3,2,17.347029
339,5,10,17.346767
340,3,17,17.346251
341,20,10,17.334298
342,30,31,17.331925
343,23,5,17.302937
344,19,2,17.302805
345,15,17,17.292821
346,16,13,17.290006
347,5,0,17.286842
348,19,26,17.267698
349,2,28,17.267502
350,11,16,17.263625
351,30,24,17.260715
352,27,23,17.259077
353,2,17,17.257234
354,31,15,17.255894
355,5,8,17.233799
356,22,0,17.225562
357,4,4,17.218161
358,4,6,17.212069
359,23,4,17.209654
360,2,11,17.207698
361,1,29,17.203976
362,26,14,17.197647
363,9,27,17.197351
364,26,21,17.196429
365,27,10,17.187864
366,4,16,17.187413
367,17,12,17.181013
368,5,30,17.177773
369,3,6,17.155979
370,14,21,17.151725
371,31,31,17.151476
372,31,29,17.151027
373,29,9,17.147782
374,13,30,17.145581
375,7,10,17.137148
376,12,23,17.100693
377,15,29,17.092999
378,29,16,17.092707
379,31,13,17.083598
380,2,9,17.082383
381,11,9,17.080334
382,21,15,17.077387
383,5,15,17.072462
384,1,11,17.069594
385,31,3,17.065128
386,18,7,17.060124
387,8,25,17.050974
388,6,14,17.049371
389,7,9,17.043710
390,15,25,17.042025
391,1,0,17.036921
392,2,24,17.031235
393,10,15,17.029328
394,24,15,17.026903
395,28,25,17.024714
396,4,22,17.016712
397,25,18,17.016170
398,23,6,17.006923
399,3,7,17.006591
400,8,21,17.006444
401,17,0,16.997861
402,5,9,16.981130
403,6,17,16.973254
404,6,31,16.964691
405,4,18,16.962437
406,16,10,16.959755
407,28,14,16.956291
408,31,10,16.953086
409,4,31,16.952431
410,8,24,16.934309
411,12,24,16.925913
412,7,12,16.917517
413,20,23,16.913971
414,30,1,16.907134
415,7,19,16.904191
416,5,29,16.900053
417,7,0,16.897560
418,15,13,16.885975
419,5,28,16.884804
420,7,13,16.882770
421,22,24,16.882321
422,28,17,16.880042
423,10,1,16.869226
424,30,20,16.868726
425,5,18,16.865362
426,6,19,16.863677
427,17,10,16.851115
428,13,27,16.841438
429,10,4,16.840201
430,4,8,16.838478
431,15,24,16.834644
432,13,7,16.832999
433,15,8,16.822903
434,22,11,16.806896
435,30,27,16.806019
436,28,4,16.800096
437,1,27,16.788951
438,4,21,16.785045
439,21,21,16.759594
440,22,1,16.743555
441,27,21,16.723756
442,30,26,16.721102
443,18,17,16.698307
444,23,7,16.689220
445,12,3,16.686792
446,6,27,16.677694
447,0,23,16.676782
448,7,29,16.672338
449,5,22,16.667455
450,31,9,16.656031
451,17,16,16.653037
452,16,9,16.649392
453,10,2,16.648123
454,25,11,16.638913
455,28,30,16.636438
456,15,14,16.617684
457,20,27,16.616054
458,12,21,16.608894
459,22,7,16.603460
460,24,23,16.599198
461,18,12,16.599166
462,2,29,16.597941
463,16,14,16.596891
464,3,11,16.595601
465,30,2,16.592311
466,28,24,16.591026
467,18,10,16.586429
468,12,25,16.582714
469,25,21,16.572138
470,10,12,16.569862
471,8,0,16.567109
472,22,10,16.565620
473,10,31,16.554042
474,27,7,16.551311
475,5,6,16.549435
476,6,29,16.542961
477,7,4,16.541149
478,6,7,16.524262
479,21,25,16.522362
480,28,16,16.520775
481,22,2,16.518968
482,28,10,16.518269
483,5,13,16.501175
484,29,24,16.472625
485,2,2,16.464886
486,19,18,16.461688
487,10,13,16.460726
488,9,31,16.459586
489,25,2,16.458680
490,29,18,16.449852
491,3,30,16.449356
492,18,4,16.447448
493,27,8,16.442830
494,2,30,16.429149
495,4,11,16.428948
496,26,22,16.420471
497,26,1,16.419589
498,7,16,16.405143
499,14,24,16.399574
500,5,3,16.397125
501,19,13,16.390961
502,26,9,16.384123
503,28,20,16.382782
504,3,31,16.377910
505,2,31,16.376185
506,25,24,16.372204
507,20,1,16.369824
508,6,22,16.367948
509,16,11,16.365292
510,24,7,16.358284
511,12,26,16.345900
512,11,14,16.339208
513,5,24,16.334870
514,19,4,16.333111
515,30,12,16.321167
516,29,10,16.305811
517,25,8,16.305205
518,3,14,16.303990
519,29,0,16.301646
520,9,22,16.300790
521,26,19,16.285432
522,25,31,16.282034
523,17,29,16.273034
524,19,19,16.268687
525,29,25,16.262750
526,13,28,16.260730
527,28,6,16.257477
528,2,14,16.256508
529,10,18,16.256427
530,21,26,16.254366
531,5,19,16.251877
532,31,27,16.246222
533,3,20,16.241248
534,13,21,16.206687
535,12,22,16.206527
536,0,4,16.202467
537,11,11,16.195863
538,7,14,16.194697
539,10,10,16.194083
540,30,11,16.185185
541,23,27,16.183877
542,1,28,16.181217
543,26,13,16.180011
544,21,2,16.178041
545,19,3,16.176386
546,28,23,16.164216
547,11,30,16.158063
548,3,10,16.156981
549,11,17,16.152358
550,14,17,16.147843
551,9,9,16.142153
552,19,27,16.136661
553,29,30,16.127468
554,5,2,16.126364
555,6,0,16.122169
556,27,5,16.121353
557,18,27,16.117576
558,5,27,16.114881
559,3,8,16.106581
560,24,5,16.100660
561,29,23,16.099891
562,6,2,16.096613
563,18,13,16.089148
564,7,23,16.076515
565,19,28,16.069913
566,5,14,16.054840
567,2,0,16.048586
568,18,24,16.046746
569,7,18,16.038037
570,23,25,16.033969
571,11,12,16.025749
572,9,20,16.022183
573,2,4,16.005481
574,6,28,16.002210
575,28,0,15.993591
576,12,31,15.990182
577,16,6,15.978684
578,21,13,15.977639
579,12,9,15.976872
580,30,16,15.975453
581,19,17,15.970727
582,5,1,15.967406
583,17,26,15.961594
584,19,1,15.955042
585,8,3,15.953011
586,26,0,15.940190
587,31,1,15.937960
588,16,19,15.937054
589,9,10,15.932144
590,3,1,15.930725
591,27,11,15.915210
592,22,15,15.911982
593,9,29,15.911648
594,17,2,15.910372
595,6,18,15.900175
596,6,11,15.897201
597,0,14,15.897004
598,25,29,15.892820
599,7,28,15.891129
600,21,22,15.886983
601,21,20,15.879166
602,8,7,15.874709
603,3,22,15.874293
604,16,18,15.871705
605,8,19,15.869764
606,22,6,15.863989
607,11,21,15.862055
608,3,9,15.851331
609,26,29,15.851287
610,16,5,15.848688
611,28,3,15.839410
612,3,28,15.836373
613,19,20,15.832109
614,21,11,15.817424
615,22,5,15.812964
616,23,8,15.812741
617,16,7,15.812406
618,9,5,15.808399
619,22,8,15.804807
620,3,23,15.793116
621,3,25,15.792932
622,17,31,15.791630
623,20,13,15.779288
624,22,27,15.776231
625,25,28,15.765259
626,4,3,15.764787
627,7,3,15.764331
628,28,18,15.761008
629,20,24,15.754082
630,15,9,15.723557
631,1,14,15.719235
632,2,15,15.718785
633,15,23,15.705165
634,6,4,15.694800
635,18,8,15.686081
636,17,21,15.684183
637,9,26,15.684003
638,17,9,15.683590
