rank,layer_idx,head_idx,importance_score
1,31,14,49.307220
2,0,3,33.373188
3,0,12,31.763315
4,0,2,30.574224
5,0,1,29.308810
6,0,31,26.999368
7,0,0,26.957832
8,31,23,26.508440
9,0,6,26.258718
10,0,29,26.171091
11,12,12,24.975182
12,28,26,24.905983
13,1,6,24.163599
14,5,4,24.112024
15,14,26,24.039850
16,0,16,23.984087
17,5,16,23.628578
18,30,22,23.625327
19,1,7,23.599380
20,15,30,23.030072
21,0,7,22.691989
22,31,7,22.425789
23,17,18,22.407332
24,2,21,22.322581
25,17,11,22.283639
26,30,23,22.276075
27,3,4,22.260096
28,29,8,22.122716
29,15,7,22.080396
30,30,18,22.073977
31,31,16,22.005556
32,25,6,21.969668
33,25,23,21.901385
34,25,12,21.854921
35,25,7,21.730322
36,13,29,21.557134
37,31,25,21.474652
38,31,6,21.473447
39,25,5,21.399793
40,20,8,21.383274
41,31,17,21.367109
42,16,31,21.313610
43,1,12,21.269234
44,25,4,21.260719
45,27,29,21.258690
46,21,29,21.183397
47,5,25,21.180310
48,16,29,21.176987
49,20,7,21.149897
50,23,15,21.127511
51,1,4,21.105283
52,31,24,21.069557
53,31,28,21.068240
54,13,22,21.062004
55,15,1,21.042167
56,12,0,21.034651
57,20,29,20.965655
58,19,7,20.927746
59,26,31,20.914595
60,4,14,20.848718
61,16,28,20.847765
62,21,7,20.809249
63,31,21,20.760129
64,1,20,20.748384
65,30,19,20.745621
66,8,1,20.728240
67,31,19,20.727576
68,4,9,20.705338
69,25,13,20.694838
70,29,26,20.689418
71,0,11,20.656863
72,1,24,20.641233
73,25,22,20.612801
74,15,0,20.604285
75,0,20,20.570381
76,15,16,20.556271
77,24,31,20.542393
78,31,5,20.540414
79,21,5,20.506393
80,21,4,20.491359
81,24,22,20.491325
82,8,4,20.471343
83,29,27,20.451635
84,31,18,20.426939
85,12,19,20.388956
86,24,30,20.345639
87,17,13,20.342657
88,4,12,20.297467
89,20,28,20.294240
90,8,20,20.276701
91,17,15,20.270872
92,25,15,20.255615
93,2,16,20.218092
94,30,10,20.159594
95,27,31,20.154503
96,31,30,20.128945
97,17,5,20.106416
98,28,22,20.105824
99,27,22,20.081770
100,27,14,20.079946
101,22,16,20.074370
102,21,6,20.072543
103,19,30,20.064472
104,25,14,20.061516
105,27,4,20.032612
106,0,18,19.999356
107,22,19,19.982286
108,8,6,19.972493
109,24,29,19.965811
110,4,23,19.953510
111,21,10,19.939594
112,7,1,19.926444
113,7,2,19.914704
114,17,4,19.910839
115,19,8,19.905363
116,17,30,19.900559
117,28,5,19.879380
118,7,20,19.817508
119,23,28,19.792781
120,25,20,19.775707
121,17,20,19.774732
122,12,15,19.723680
123,2,23,19.691872
124,23,31,19.662941
125,16,30,19.645238
126,30,17,19.617124
127,24,28,19.600048
128,28,27,19.592721
129,0,10,19.568118
130,4,13,19.555987
131,15,12,19.548218
132,6,12,19.526496
133,22,17,19.517181
134,3,15,19.512225
135,11,31,19.505928
136,6,9,19.492291
137,23,30,19.488168
138,0,24,19.481542
139,7,5,19.476259
140,10,9,19.474071
141,10,25,19.458140
142,2,22,19.438929
143,31,22,19.437070
144,8,5,19.421901
145,12,2,19.406569
146,16,17,19.387861
147,12,29,19.384632
148,10,11,19.366397
149,23,12,19.352183
150,7,17,19.347892
151,17,8,19.328132
152,19,22,19.304727
153,28,13,19.299630
154,16,22,19.289430
155,6,13,19.275271
156,13,24,19.274631
157,17,14,19.255040
158,1,26,19.252791
159,14,8,19.237434
160,28,19,19.207378
161,24,17,19.203206
162,1,18,19.192205
163,15,27,19.173282
164,8,11,19.164322
165,17,3,19.145045
166,15,5,19.144693
167,1,19,19.144268
168,21,30,19.143520
169,21,28,19.137181
170,22,31,19.122254
171,18,14,19.110931
172,15,4,19.110214
173,16,20,19.096726
174,5,17,19.096089
175,31,20,19.076935
176,19,2,19.074661
177,21,31,19.051278
178,22,3,19.050672
179,28,31,19.048341
180,1,5,19.042552
181,18,0,19.029074
182,0,17,19.015999
183,18,18,19.014817
184,24,13,19.014760
185,1,21,19.013400
186,8,22,19.004907
187,26,30,18.986780
188,3,21,18.983045
189,27,28,18.978929
190,19,21,18.978421
191,15,2,18.927435
192,18,15,18.867625
193,23,23,18.862638
194,21,9,18.855804
195,1,13,18.840916
196,7,11,18.834929
197,19,26,18.821580
198,17,12,18.812788
199,4,25,18.810547
200,27,9,18.803902
201,17,7,18.799281
202,3,18,18.789392
203,10,14,18.775027
204,28,12,18.771061
205,17,19,18.751302
206,23,13,18.745999
207,31,11,18.745171
208,6,15,18.738016
209,1,17,18.732065
210,21,14,18.727564
211,26,21,18.708331
212,4,2,18.704650
213,1,30,18.691428
214,30,24,18.690129
215,30,25,18.687702
216,22,30,18.684084
217,31,26,18.681942
218,9,11,18.681693
219,14,11,18.680035
220,30,9,18.660877
221,1,3,18.650370
222,30,28,18.639836
223,31,12,18.637723
224,28,6,18.637242
225,24,21,18.615914
226,28,9,18.611817
227,25,1,18.588578
228,2,13,18.582233
229,17,17,18.574327
230,4,15,18.572052
231,2,10,18.570243
232,26,23,18.566167
233,12,16,18.559622
234,2,7,18.525056
235,30,1,18.517389
236,18,17,18.512804
237,3,5,18.511729
238,7,10,18.498185
239,14,23,18.493972
240,2,12,18.493283
241,1,15,18.473633
242,24,27,18.471615
243,23,0,18.468620
244,30,21,18.467047
245,21,19,18.459190
246,14,9,18.456010
247,2,26,18.454211
248,26,17,18.449834
249,11,8,18.436989
250,23,29,18.425692
251,15,26,18.422561
252,20,10,18.406672
253,2,8,18.400000
254,5,0,18.396571
255,31,4,18.396403
256,3,16,18.389433
257,24,19,18.380138
258,5,12,18.379995
259,15,28,18.377319
260,28,30,18.373641
261,30,29,18.367703
262,23,16,18.342317
263,11,10,18.336512
264,18,25,18.336172
265,10,30,18.336057
266,28,4,18.330725
267,20,9,18.329983
268,4,24,18.322699
269,2,18,18.321569
270,3,26,18.307264
271,3,24,18.305382
272,12,17,18.287184
273,18,21,18.285422
274,27,10,18.271151
275,4,20,18.265287
276,16,4,18.250108
277,3,2,18.247988
278,13,30,18.246073
279,21,12,18.234216
280,14,10,18.228904
281,7,27,18.222306
282,13,7,18.209924
283,29,31,18.197814
284,21,0,18.184958
285,12,13,18.182249
286,19,28,18.168356
287,5,18,18.156402
288,6,30,18.153244
289,24,18,18.151921
290,15,24,18.145117
291,16,9,18.140520
292,4,21,18.131931
293,18,26,18.130266
294,10,27,18.127730
295,31,31,18.122257
296,31,0,18.113995
297,2,28,18.102014
298,13,31,18.099134
299,10,8,18.092682
300,12,28,18.090589
301,25,0,18.090211
302,3,3,18.088008
303,4,27,18.084430
304,26,3,18.081605
305,6,16,18.077717
306,15,11,18.064836
307,2,25,18.052775
308,24,20,18.041624
309,7,9,18.033808
310,10,16,18.023065
311,15,6,18.019119
312,25,19,18.017914
313,21,21,18.017391
314,27,20,18.002074
315,15,3,17.998740
316,31,2,17.994043
317,25,24,17.987495
318,5,30,17.983577
319,18,11,17.979214
320,4,4,17.978977
321,4,8,17.972388
322,31,10,17.967094
323,10,2,17.946519
324,30,0,17.944046
325,2,29,17.926208
326,31,3,17.924255
327,3,7,17.920583
328,1,16,17.910345
329,8,23,17.905309
330,11,9,17.896695
331,4,17,17.887940
332,9,15,17.879370
333,7,12,17.878240
334,5,31,17.877165
335,18,12,17.874981
336,17,0,17.874828
337,6,6,17.865742
338,30,3,17.864249
339,4,16,17.845263
340,17,16,17.840344
341,15,25,17.833920
342,30,2,17.833732
343,15,31,17.820942
344,7,4,17.820688
345,28,16,17.809908
346,5,11,17.805801
347,12,18,17.799909
348,18,30,17.796739
349,21,15,17.795063
350,30,13,17.789644
351,19,10,17.784883
352,22,24,17.783469
353,2,20,17.777002
354,29,9,17.772102
355,26,22,17.764569
356,16,10,17.763072
357,16,3,17.760922
358,6,14,17.757996
359,2,24,17.757132
360,22,11,17.755167
361,6,8,17.731683
362,23,5,17.729310
363,15,13,17.721191
364,4,18,17.702571
365,16,21,17.700650
366,30,26,17.688780
367,27,23,17.678150
368,28,10,17.674509
369,24,12,17.673663
370,31,29,17.662906
371,21,20,17.662166
372,10,4,17.661088
373,12,24,17.657205
374,24,25,17.653024
375,29,18,17.651211
376,16,23,17.649917
377,22,10,17.649661
378,20,21,17.645205
379,24,16,17.644326
380,4,7,17.644240
381,23,7,17.642205
382,7,19,17.637835
383,29,20,17.637128
384,8,24,17.635481
385,7,16,17.628709
386,19,15,17.625155
387,9,22,17.625059
388,28,25,17.622909
389,23,4,17.616396
390,6,23,17.602693
391,2,27,17.601575
392,16,8,17.589831
393,30,20,17.581957
394,24,15,17.575789
395,22,0,17.566459
396,14,21,17.563740
397,4,22,17.553255
398,11,19,17.550457
399,6,27,17.550179
400,6,10,17.548913
401,5,15,17.537176
402,5,8,17.537027
403,12,23,17.523125
404,5,10,17.522635
405,25,21,17.519133
406,31,9,17.513746
407,29,21,17.511435
408,8,21,17.502911
409,19,19,17.493420
410,2,9,17.488053
411,10,15,17.485148
412,4,6,17.473246
413,27,6,17.472230
414,30,27,17.470825
415,8,19,17.455054
416,27,8,17.440338
417,19,9,17.436839
418,2,11,17.436702
419,28,28,17.435975
420,19,31,17.434992
421,19,18,17.430544
422,3,6,17.428651
423,13,21,17.425809
424,8,7,17.422958
425,11,16,17.421360
426,5,29,17.416351
427,27,13,17.414945
428,16,11,17.406142
429,26,15,17.402418
430,8,25,17.399831
431,25,11,17.396238
432,12,3,17.395368
433,30,16,17.393088
434,31,13,17.391543
435,28,7,17.391044
436,28,23,17.389302
437,20,27,17.377484
438,11,4,17.368386
439,19,27,17.364545
440,1,27,17.357089
441,5,28,17.352990
442,27,12,17.348204
443,28,14,17.347871
444,25,18,17.341729
445,31,1,17.340467
446,29,22,17.339667
447,15,14,17.337364
448,28,20,17.336370
449,23,6,17.334587
450,29,16,17.333373
451,11,30,17.332470
452,5,22,17.330962
453,1,11,17.327169
454,21,11,17.315653
455,6,29,17.314881
456,4,31,17.314321
457,30,31,17.311838
458,6,19,17.296665
459,31,15,17.294683
460,2,17,17.294588
