rank,layer_idx,head_idx,importance_score
1,31,14,51.619762
2,0,12,31.416096
3,0,2,30.083706
4,0,3,29.723086
5,0,1,29.400282
6,28,26,27.364087
7,15,30,27.217283
8,31,23,27.000257
9,0,31,26.926323
10,0,0,26.925579
11,0,29,26.580547
12,12,12,25.037468
13,0,6,24.923525
14,5,4,24.898694
15,1,6,24.270247
16,14,26,24.267213
17,30,22,24.141659
18,0,16,24.141114
19,0,7,23.736190
20,31,5,23.240964
21,15,1,23.005117
22,25,6,22.972881
23,31,25,22.572455
24,1,7,22.453979
25,31,24,22.402139
26,2,21,22.310120
27,25,7,22.268015
28,25,23,22.142921
29,25,5,22.137342
30,25,22,22.009751
31,31,6,22.006160
32,26,31,21.973549
33,15,7,21.966574
34,30,18,21.951619
35,25,12,21.902059
36,31,12,21.865885
37,29,8,21.766258
38,31,7,21.738757
39,27,29,21.644388
40,30,23,21.503555
41,31,16,21.473622
42,17,11,21.450263
43,3,4,21.403709
44,24,22,21.394328
45,25,4,21.350263
46,5,16,21.284613
47,17,18,21.271664
48,0,20,21.270430
49,31,19,21.216540
50,25,13,21.131007
51,1,20,21.084415
52,31,30,21.062967
53,1,12,21.033240
54,27,22,21.019255
55,31,11,21.018159
56,25,20,21.007347
57,20,29,20.957689
58,4,14,20.833244
59,20,8,20.796948
60,27,4,20.761940
61,31,28,20.753177
62,16,29,20.739570
63,31,21,20.735046
64,1,4,20.733236
65,16,31,20.717357
66,25,15,20.619296
67,20,7,20.611171
68,30,10,20.584144
69,29,26,20.580767
70,25,14,20.460931
71,19,7,20.457798
72,23,15,20.446061
73,4,12,20.435354
74,28,5,20.417021
75,0,11,20.411064
76,21,10,20.354413
77,16,28,20.342466
78,29,27,20.316684
79,8,4,20.305670
80,24,30,20.297419
81,31,18,20.289272
82,13,29,20.255272
83,21,7,20.237909
84,31,17,20.185875
85,15,16,20.169284
86,0,18,20.161088
87,2,23,20.134542
88,27,14,20.119977
89,21,4,20.109401
90,12,0,20.056092
91,20,28,20.026429
92,22,31,19.988057
93,27,28,19.985851
94,1,24,19.983761
95,15,0,19.977653
96,0,10,19.966940
97,2,16,19.914994
98,16,30,19.888782
99,22,16,19.887602
100,4,9,19.873209
101,7,1,19.866599
102,28,27,19.854536
103,4,13,19.853316
104,7,2,19.763243
105,17,8,19.744236
106,24,17,19.742000
107,24,27,19.716733
108,17,20,19.708939
109,30,19,19.705909
110,13,22,19.699191
111,16,20,19.694594
112,8,6,19.663347
113,23,30,19.663286
114,21,29,19.661439
115,12,19,19.640914
116,22,19,19.636835
117,0,17,19.609806
118,5,25,19.577790
119,19,8,19.565678
120,28,22,19.549066
121,21,6,19.492199
122,17,30,19.474627
123,31,22,19.442109
124,8,20,19.433310
125,8,1,19.425465
126,14,8,19.408379
127,24,29,19.397803
128,27,31,19.372239
129,24,31,19.369569
130,28,13,19.366536
131,30,25,19.354680
132,6,15,19.350177
133,2,22,19.337527
134,1,21,19.320348
135,21,5,19.317719
136,15,28,19.283487
137,24,13,19.242126
138,1,5,19.234783
139,17,13,19.234188
140,15,2,19.216318
141,23,31,19.208870
142,10,9,19.181639
143,11,31,19.176131
144,7,5,19.156190
145,23,28,19.143568
146,7,20,19.089722
147,6,9,19.062082
148,31,2,19.041397
149,6,13,19.035670
150,12,15,19.026373
151,1,18,19.015873
152,12,2,19.013445
153,31,26,19.009646
154,17,5,19.002264
155,27,6,18.995211
156,23,12,18.965749
157,16,17,18.919483
158,24,20,18.917184
159,2,12,18.902268
160,22,17,18.892754
161,1,19,18.890978
162,4,23,18.879549
163,0,24,18.878449
164,23,13,18.875584
165,2,26,18.870598
166,8,5,18.861025
167,15,12,18.833249
168,24,18,18.828218
169,30,17,18.821358
170,26,15,18.815541
171,15,27,18.815086
172,14,11,18.808998
173,10,25,18.802785
174,2,10,18.802703
175,30,0,18.769153
176,10,11,18.757692
177,16,23,18.753137
178,1,3,18.739611
179,1,17,18.737085
180,30,9,18.734123
181,31,3,18.706171
182,15,4,18.686770
183,10,30,18.685299
184,16,22,18.660391
185,1,26,18.659011
186,10,14,18.653602
187,8,22,18.649902
