rank,layer_idx,head_idx,importance_score
1,31,14,56.145054
2,0,3,31.152454
3,0,12,30.421941
4,0,2,29.378023
5,0,1,27.988224
6,31,23,27.120472
7,0,31,26.966034
8,0,0,26.891878
9,28,26,26.627629
10,12,12,25.481772
11,0,6,24.765627
12,14,26,24.710849
13,0,29,24.696929
14,0,16,24.604954
15,15,30,24.418138
16,1,6,24.374793
17,5,4,24.251331
18,1,7,23.433773
19,30,18,22.774922
20,15,1,22.434539
21,2,21,22.403634
22,17,18,22.393203
23,25,23,22.229026
24,5,16,22.220056
25,30,22,21.783827
26,31,16,21.764056
27,17,11,21.732726
28,25,22,21.619334
29,31,7,21.606474
30,15,7,21.572970
31,25,6,21.504864
32,3,4,21.493812
33,27,29,21.484931
34,20,7,21.465572
35,16,31,21.324959
36,15,2,21.322723
37,24,30,21.300025
38,16,29,21.278968
39,31,17,21.189813
40,1,4,21.106535
41,26,31,21.091825
42,20,8,21.081190
43,1,12,20.987619
44,25,7,20.975290
45,25,12,20.938835
46,27,31,20.896068
47,31,21,20.872991
48,21,10,20.866190
49,25,5,20.849765
50,20,29,20.753756
51,0,20,20.710035
52,12,0,20.695474
53,1,20,20.682774
54,4,14,20.648680
55,8,1,20.638179
56,24,22,20.590403
57,30,23,20.560597
58,0,7,20.519169
59,29,8,20.514776
60,16,28,20.489191
61,21,7,20.414859
62,15,0,20.379205
63,21,4,20.337215
64,15,16,20.297419
65,22,16,20.275200
66,25,20,20.252330
67,0,18,20.242537
68,31,25,20.240433
69,31,19,20.220973
70,0,17,20.208568
71,0,11,20.206405
72,19,7,20.199798
73,13,29,20.143164
74,31,11,20.138518
75,30,19,20.132495
76,31,18,20.111519
77,2,23,20.079003
78,27,4,20.055821
79,24,29,20.052323
80,25,13,20.050156
81,20,28,20.047189
82,27,28,20.034677
83,25,4,20.031748
84,8,20,20.030092
85,5,25,20.026310
86,9,27,20.016517
87,27,22,19.994966
88,8,11,19.950209
89,31,5,19.936731
90,8,4,19.902532
91,30,17,19.893657
92,27,14,19.850038
93,17,30,19.843147
94,31,6,19.815422
95,28,27,19.800428
96,1,24,19.791326
97,23,30,19.784831
98,21,5,19.761460
99,12,19,19.747514
100,4,12,19.714229
101,28,5,19.688029
102,0,10,19.687788
103,19,2,19.669933
104,7,1,19.653147
105,2,16,19.651065
106,7,2,19.628977
107,23,15,19.617762
108,15,4,19.615299
109,15,28,19.609978
110,6,9,19.588360
111,2,22,19.581810
112,29,26,19.543650
113,13,22,19.525991
114,17,13,19.515535
115,15,27,19.493028
116,12,15,19.465175
117,21,29,19.463591
118,29,27,19.448266
119,17,8,19.429054
120,23,31,19.391411
121,17,3,19.354794
122,28,22,19.332060
123,14,8,19.326441
124,16,30,19.313601
125,16,20,19.298892
126,21,6,19.281660
127,25,15,19.273948
128,22,19,19.238987
129,8,6,19.238354
130,31,30,19.235615
131,7,5,19.180293
132,31,24,19.162602
133,4,9,19.139947
134,6,13,19.130547
135,17,20,19.122311
136,22,17,19.112266
137,22,31,19.112050
138,28,13,19.104319
139,8,22,19.086680
140,15,12,19.085777
141,11,31,19.075580
142,17,5,19.062072
143,15,5,19.052744
144,10,14,19.034412
145,10,9,19.027215
146,18,0,18.990267
147,25,14,18.988214
148,31,28,18.980606
149,24,13,18.955580
150,17,4,18.954581
151,4,13,18.934889
152,17,15,18.916752
153,24,17,18.914277
154,25,19,18.912560
155,12,2,18.896655
156,1,5,18.892858
157,7,20,18.888149
158,8,5,18.882854
159,14,11,18.881236
160,0,24,18.837489
161,23,23,18.823438
162,1,19,18.789235
163,19,8,18.783808
164,1,21,18.782988
165,6,12,18.781661
166,1,18,18.781603
167,31,22,18.768004
168,24,31,18.763807
169,28,19,18.761967
170,23,16,18.728886
171,23,12,18.726813
172,23,28,18.721738
173,21,9,18.701413
174,13,24,18.674180
175,16,17,18.673191
176,10,11,18.649098
177,1,17,18.644373
178,23,29,18.643177
179,13,27,18.637059
180,10,30,18.621372
181,2,25,18.611837
182,2,12,18.604515
183,2,26,18.600953
184,14,9,18.565336
185,4,23,18.482604
186,6,15,18.477530
187,9,11,18.464379
188,1,26,18.457640
189,25,1,18.451257
190,1,3,18.438855
191,12,16,18.429085
192,12,29,18.419537
193,11,8,18.365066
194,31,4,18.357829
195,3,18,18.357082
196,30,10,18.349299
197,2,13,18.345645
198,31,20,18.340245
199,16,3,18.334641
200,7,17,18.319413
201,5,12,18.311628
202,14,23,18.302847
203,16,22,18.285296
204,9,15,18.284234
205,1,30,18.276924
206,24,28,18.260059
207,23,13,18.255383
208,17,7,18.251746
209,1,13,18.247550
210,6,31,18.227763
211,19,30,18.226999
212,4,25,18.156423
213,3,15,18.151453
214,14,10,18.148351
215,12,17,18.120082
216,21,30,18.097250
217,23,0,18.091228
218,21,14,18.075480
219,18,26,18.061137
220,30,29,18.059022
221,7,11,18.051822
222,12,13,18.032995
223,24,20,18.030692
224,30,21,18.026891
225,29,20,18.017857
226,27,9,18.013803
227,28,9,17.992940
228,17,19,17.992098
229,30,28,17.989260
230,4,15,17.984120
231,3,16,17.980499
232,18,14,17.960889
233,16,23,17.953299
234,10,25,17.950439
235,19,15,17.930983
236,15,26,17.919857
237,1,15,17.917638
238,30,20,17.913743
239,2,7,17.911790
240,6,30,17.903865
241,1,16,17.903498
242,5,0,17.888825
243,7,27,17.886864
244,13,31,17.881123
245,3,5,17.878318
246,28,24,17.873224
247,2,24,17.847830
248,4,24,17.832535
249,11,10,17.796268
250,2,18,17.759581
251,31,12,17.758260
252,16,10,17.739102
253,6,6,17.737838
254,26,23,17.720589
255,2,10,17.712671
256,21,31,17.712484
257,17,14,17.709153
258,13,7,17.704339
259,26,30,17.694229
260,4,2,17.688514
261,2,27,17.681970
262,3,3,17.670703
263,6,16,17.660527
264,29,21,17.655753
265,24,12,17.650601
266,5,17,17.650502
267,15,11,17.648420
268,4,21,17.648003
269,27,6,17.645639
270,21,28,17.625803
271,10,27,17.625667
272,4,16,17.623985
273,15,31,17.623242
274,10,8,17.612323
275,17,17,17.608416
276,16,4,17.604983
277,28,12,17.596882
278,24,18,17.594545
279,24,21,17.593341
280,24,27,17.590931
281,15,6,17.586837
282,22,3,17.582469
283,20,9,17.581461
284,19,10,17.579899
285,11,19,17.567858
286,26,17,17.565333
287,25,0,17.557024
288,5,11,17.556864
289,10,13,17.554825
290,5,31,17.542297
291,9,25,17.538962
292,3,21,17.534213
293,18,25,17.530578
294,27,13,17.529416
295,3,24,17.527440
296,2,8,17.519210
297,21,0,17.509270
298,5,8,17.492757
299,10,16,17.492254
300,12,18,17.490257
301,4,17,17.485544
302,15,29,17.476110
303,2,20,17.472455
304,11,16,17.472180
305,18,15,17.467986
306,15,17,17.465671
307,31,0,17.464373
308,8,24,17.462772
309,5,10,17.462476
310,18,18,17.456151
311,2,28,17.456130
312,13,30,17.451826
313,4,20,17.451363
314,5,30,17.450301
315,3,26,17.440250
316,25,3,17.437061
317,18,30,17.430149
318,29,22,17.421146
319,10,29,17.418844
320,12,28,17.415386
321,7,10,17.411722
322,15,3,17.397193
323,1,23,17.395421
324,30,3,17.392632
325,28,31,17.390262
326,10,2,17.381699
327,30,9,17.374189
328,19,22,17.357298
329,16,21,17.350357
330,14,21,17.350349
331,29,31,17.349041
332,7,9,17.335152
333,26,21,17.328660
334,30,24,17.324267
335,8,23,17.323353
336,28,16,17.299016
337,27,20,17.291951
338,26,12,17.282304
339,2,11,17.260402
340,11,30,17.254548
341,27,10,17.252292
342,31,26,17.250562
343,4,4,17.248081
344,26,3,17.242875
345,6,8,17.242413
346,4,27,17.238435
347,15,25,17.235899
348,15,13,17.220016
349,3,2,17.219423
350,11,9,17.217284
351,5,15,17.199299
352,1,1,17.195894
353,18,11,17.187041
354,5,9,17.170695
355,3,17,17.168601
356,12,24,17.164468
357,6,28,17.159958
358,6,14,17.152823
359,19,21,17.149338
360,31,15,17.148577
361,12,23,17.136198
362,6,10,17.133559
363,24,16,17.118833
364,30,25,17.117895
365,12,21,17.115732
366,21,21,17.082453
367,2,17,17.075574
368,4,7,17.073357
369,1,11,17.072334
370,31,13,17.064768
371,0,23,17.062791
372,26,14,17.057682
373,4,18,17.056512
374,8,25,17.054977
375,26,15,17.051493
376,29,9,17.049868
377,21,19,17.048661
378,22,24,17.046908
379,31,31,17.036274
380,16,8,17.020196
381,28,7,17.019601
382,30,31,17.013758
383,22,0,17.013668
384,24,19,17.012556
385,3,6,16.996395
386,25,31,16.991426
387,5,28,16.989859
388,18,7,16.987027
389,24,25,16.975718
390,22,30,16.963687
391,5,22,16.953524
392,27,23,16.941899
393,31,3,16.940465
394,3,7,16.939380
395,7,12,16.936563
396,2,29,16.922126
397,5,13,16.910750
398,17,10,16.910009
399,18,12,16.905944
400,1,27,16.896330
401,5,29,16.895453
402,11,17,16.889794
403,6,23,16.889279
404,30,1,16.883993
405,6,17,16.883845
406,29,16,16.877612
407,20,23,16.876838
408,19,26,16.873780
409,17,0,16.872422
410,10,15,16.869605
411,2,9,16.861808
412,7,19,16.852748
413,17,16,16.849487
414,8,21,16.847114
415,12,26,16.845789
416,24,24,16.842479
417,14,17,16.835047
418,21,12,16.830420
419,18,4,16.824894
420,23,5,16.823903
421,25,18,16.822290
422,17,12,16.820517
423,5,6,16.816724
424,4,6,16.811066
425,28,20,16.810892
426,1,0,16.807101
427,28,30,16.800895
428,30,27,16.796225
429,10,4,16.778712
430,0,4,16.777376
431,27,12,16.766570
432,3,20,16.764763
433,1,29,16.762018
434,22,2,16.741697
435,30,0,16.739860
436,18,17,16.734717
437,12,3,16.730398
438,23,6,16.714075
439,28,10,16.705653
440,31,2,16.691764
441,6,19,16.689027
442,8,0,16.688998
443,31,10,16.688374
444,13,6,16.687776
445,30,13,16.681149
446,10,12,16.670003
447,22,11,16.665241
448,24,15,16.638705
449,12,25,16.630413
450,4,31,16.626011
451,25,24,16.624888
