rank,layer_idx,head_idx,importance_score
1,31,14,50.528315
2,0,2,28.378979
3,0,31,26.782730
4,0,0,26.534984
5,31,23,26.327270
6,0,3,25.426090
7,0,1,25.363787
8,28,26,23.388341
9,12,12,23.084580
10,5,4,22.257996
11,0,6,22.165727
12,14,26,22.118015
13,30,18,21.220731
14,1,7,21.129668
15,0,29,20.976068
16,25,22,20.955295
17,2,21,20.906363
18,31,18,20.757619
19,25,23,20.344913
20,25,19,20.304006
21,31,7,20.034203
22,0,10,19.971016
23,1,20,19.938197
24,31,16,19.895343
25,15,7,19.742205
26,1,12,19.565192
27,31,25,19.517696
28,3,4,19.500454
29,27,29,19.461415
30,31,5,19.422860
31,17,11,19.346364
32,5,16,19.273772
33,20,8,19.272001
34,0,14,19.238722
35,25,6,19.184580
36,0,12,19.183616
37,31,21,19.155897
38,4,14,19.113096
39,1,6,19.110547
40,15,30,19.062980
41,27,14,19.053276
42,19,7,19.050975
43,25,20,19.040291
44,16,31,18.968077
45,1,24,18.870233
46,30,22,18.857993
47,25,12,18.850242
48,8,11,18.793731
49,16,29,18.788379
50,25,5,18.775007
51,26,31,18.773949
52,30,17,18.723716
53,25,7,18.679282
54,4,12,18.650979
55,2,23,18.639976
56,0,11,18.498197
57,15,0,18.447308
58,7,2,18.438196
59,16,28,18.428756
60,21,7,18.417135
61,24,30,18.345588
62,21,4,18.322384
63,1,4,18.313577
64,21,10,18.283724
65,11,31,18.277008
66,23,30,18.225559
67,22,16,18.179802
68,0,24,18.147650
69,6,9,18.146523
70,8,20,18.124967
71,31,4,18.080483
72,5,25,18.070671
73,28,5,18.069588
74,27,22,18.031249
75,7,5,18.025183
76,17,18,18.023217
77,25,1,18.004592
78,12,0,18.004495
79,31,6,18.003733
80,20,29,17.981361
81,24,22,17.955789
82,15,1,17.951958
83,25,4,17.935079
84,21,5,17.899805
85,1,21,17.891287
86,8,1,17.850857
87,28,27,17.844679
88,2,16,17.830806
89,14,8,17.820154
90,27,4,17.793320
91,1,5,17.780620
92,2,22,17.732845
93,31,19,17.723764
94,23,31,17.721594
95,25,13,17.712303
96,31,30,17.698175
97,20,28,17.697698
98,1,17,17.689059
99,30,19,17.676959
100,1,18,17.649914
101,6,13,17.573473
102,23,15,17.557973
103,21,6,17.540769
104,19,8,17.540541
105,13,29,17.485597
106,17,30,17.484926
107,31,24,17.477901
108,29,26,17.468705
109,17,13,17.467577
110,31,17,17.459251
111,12,19,17.454172
112,13,22,17.422663
113,4,9,17.392047
114,29,27,17.389437
115,31,22,17.379429
116,21,9,17.378431
117,7,20,17.339251
118,8,4,17.326220
119,7,1,17.324730
120,24,13,17.321972
121,16,20,17.303472
122,30,23,17.282389
123,1,26,17.274338
124,1,13,17.254676
125,21,29,17.215333
126,16,30,17.209046
127,28,13,17.155001
128,27,28,17.154607
129,20,7,17.135615
130,22,19,17.123168
131,17,20,17.109762
132,29,8,17.104704
133,1,19,17.033761
134,25,15,17.021658
135,23,28,17.016642
136,24,28,17.004038
137,6,12,17.001275
138,24,29,16.993990
139,6,30,16.990421
140,8,22,16.972299
141,9,11,16.936651
142,1,16,16.919270
143,1,30,16.909301
144,31,28,16.905786
145,2,12,16.899382
146,31,20,16.889155
147,25,14,16.879992
148,8,5,16.854278
149,4,24,16.841779
150,28,22,16.841713
151,0,16,16.828418
152,14,11,16.827253
153,17,15,16.818780
154,8,23,16.790688
155,24,17,16.785959
156,15,12,16.768936
157,23,0,16.759953
158,14,9,16.733716
159,10,9,16.716906
160,22,17,16.711505
161,23,16,16.711328
162,0,7,16.698064
163,27,31,16.695897
164,12,15,16.656245
165,12,16,16.634093
166,1,15,16.622268
167,6,16,16.619626
168,23,29,16.607028
169,5,12,16.584288
170,1,3,16.583653
171,10,30,16.566695
172,4,25,16.558822
173,27,13,16.544388
174,2,26,16.534653
175,24,31,16.527293
176,2,7,16.521556
177,25,0,16.506564
178,4,13,16.497504
179,27,9,16.478650
180,2,25,16.476326
181,3,18,16.463356
182,17,5,16.454307
183,29,21,16.447328
184,2,18,16.432888
185,5,30,16.423650
186,6,15,16.421330
187,4,17,16.388865
188,3,5,16.368017
189,2,20,16.365225
190,1,23,16.355844
191,4,16,16.354930
192,31,11,16.354197
193,22,3,16.326620
194,6,8,16.325935
195,3,16,16.323262
196,1,1,16.307108
197,0,18,16.293222
198,23,23,16.286889
199,3,26,16.283503
200,0,20,16.279488
201,2,13,16.245459
202,2,8,16.235525
203,0,23,16.231888
204,31,3,16.229952
205,15,31,16.228141
206,15,16,16.224315
207,23,12,16.223276
208,30,10,16.201036
209,17,4,16.194550
210,30,21,16.194520
211,4,27,16.191918
212,1,27,16.190712
213,10,2,16.189390
214,4,23,16.185470
215,8,6,16.184412
216,30,28,16.180042
217,3,3,16.173445
218,7,17,16.173204
219,17,19,16.164304
220,13,24,16.160139
221,10,11,16.159078
222,31,0,16.157373
223,29,22,16.145898
224,28,9,16.136464
225,5,10,16.132576
226,2,10,16.130993
227,3,17,16.123814
228,5,28,16.119842
229,7,11,16.118968
230,3,24,16.105400
231,14,10,16.103819
232,24,21,16.101914
233,30,29,16.094541
234,17,8,16.089596
235,12,2,16.089236
236,19,30,16.087741
237,16,23,16.060611
238,27,10,16.043409
239,23,13,16.032778
240,24,15,16.028480
241,0,17,16.024359
242,4,2,16.016821
243,31,15,15.992688
244,6,10,15.990348
245,12,17,15.978314
246,18,14,15.972775
247,18,25,15.964348
248,16,22,15.962623
249,5,29,15.956505
250,7,10,15.954012
251,17,17,15.941728
252,5,31,15.940661
253,16,17,15.935300
254,6,27,15.923564
255,21,30,15.916913
256,18,26,15.909113
257,31,12,15.902567
258,5,13,15.897788
259,5,8,15.897190
260,2,24,15.888228
261,17,7,15.886791
262,29,16,15.884306
263,22,31,15.878162
264,29,20,15.816824
265,7,27,15.815823
266,28,12,15.812783
267,2,27,15.804484
268,17,14,15.800803
269,28,7,15.782038
270,8,21,15.775675
271,21,31,15.770597
272,31,13,15.768060
273,24,12,15.758448
274,14,17,15.746210
275,29,24,15.740989
276,3,15,15.739877
277,12,18,15.728074
278,15,4,15.724197
279,5,9,15.720522
280,15,2,15.707060
281,30,16,15.705343
282,30,24,15.704302
283,15,5,15.703941
284,2,11,15.676681
285,11,19,15.653569
286,3,2,15.652250
287,10,14,15.651571
288,17,3,15.630637
289,2,9,15.628510
290,3,7,15.625074
291,26,23,15.622021
292,25,8,15.621674
293,1,0,15.618684
294,6,19,15.615321
295,14,19,15.606807
296,28,31,15.584972
297,31,29,15.582873
298,2,28,15.581220
299,2,29,15.578610
300,4,15,15.578553
301,7,19,15.575649
302,30,20,15.574744
303,15,27,15.568378
304,6,6,15.562699
305,19,26,15.556691
306,4,4,15.555896
307,11,16,15.552789
308,18,0,15.543448
309,2,17,15.541849
310,26,21,15.539838
311,12,13,15.535838
312,5,0,15.529921
313,3,6,15.515219
314,26,9,15.502893
315,31,2,15.501424
316,22,30,15.495966
317,5,2,15.472938
318,25,2,15.470145
319,24,20,15.468205
320,10,29,15.460275
321,7,0,15.457050
322,21,28,15.452226
323,24,25,15.438020
324,28,25,15.430879
325,26,17,15.424757
326,26,11,15.422353
327,24,18,15.421880
328,3,21,15.419426
329,21,21,15.382402
330,5,3,15.378547
331,28,4,15.371489
332,27,20,15.358710
333,12,28,15.356506
334,3,11,15.356504
335,15,28,15.354779
336,20,23,15.348410
337,4,20,15.337492
338,1,29,15.333658
339,27,12,15.326865
340,5,11,15.322111
341,21,19,15.314336
342,27,15,15.308090
343,21,0,15.294234
344,21,20,15.290050
345,30,3,15.289154
346,31,26,15.265854
347,3,20,15.253599
348,28,16,15.251536
349,1,11,15.250193
350,28,24,15.249439
351,25,31,15.249048
352,7,25,15.241262
353,11,10,15.234873
354,25,3,15.231931
355,26,14,15.229048
356,7,12,15.227281
357,5,14,15.220634
358,19,10,15.219585
359,4,31,15.211883
360,10,15,15.200175
361,5,15,15.187340
362,0,9,15.183633
363,12,24,15.182791
364,26,12,15.173912
365,11,8,15.161532
366,6,14,15.154690
367,27,6,15.149898
368,18,7,15.142090
369,24,16,15.139661
370,4,21,15.139491
371,25,11,15.137039
372,31,31,15.135066
373,18,12,15.124823
374,17,16,15.119052
375,4,18,15.105324
376,31,10,15.103474
377,29,31,15.102973
378,25,24,15.100501
379,2,30,15.089232
380,26,30,15.072675
381,2,31,15.070778
382,7,9,15.068564
383,26,6,15.064516
384,5,17,15.063792
385,2,2,15.056635
386,4,7,15.052210
387,19,22,15.050993
388,24,19,15.046917
389,20,6,15.031511
390,25,21,15.031087
391,10,25,15.020205
392,16,4,15.019171
393,12,29,15.017950
394,23,2,15.017451
395,31,9,15.016512
396,15,6,15.014786
397,19,12,15.010459
398,18,15,15.009688
399,5,6,15.007285
400,19,21,14.998589
401,17,12,14.995515
402,6,31,14.987376
403,27,23,14.982390
404,22,2,14.979015
405,10,31,14.978281
406,12,25,14.977793
407,30,31,14.973362
408,7,4,14.969810
409,13,7,14.966814
410,10,7,14.966148
411,11,17,14.962692
412,7,16,14.962313
413,10,12,14.944069
414,25,29,14.936246
415,28,19,14.933233
416,4,22,14.930316
417,2,0,14.903173
418,31,27,14.893956
419,18,18,14.887884
420,22,0,14.887769
421,23,5,14.886671
422,15,3,14.884971
423,4,8,14.883661
424,3,10,14.880055
425,7,3,14.863988
426,5,22,14.863596
427,10,8,14.860733
