rank,layer_idx,head_idx,importance_score
1,31,14,53.961047
2,0,2,29.204816
3,0,3,27.283944
4,31,23,26.872136
5,0,31,26.677059
6,0,0,26.524356
7,0,1,26.409141
8,0,12,26.131647
9,0,6,24.992945
10,28,26,24.913690
11,0,29,24.616539
12,12,12,23.825009
13,5,4,23.155742
14,0,16,23.024941
15,14,26,22.981468
16,1,7,22.199669
17,2,21,21.706557
18,31,16,21.391691
19,15,30,21.239904
20,30,22,21.134051
21,17,11,21.120008
22,1,6,21.037368
23,25,23,20.992755
24,30,18,20.839424
25,25,7,20.692303
26,31,7,20.629785
27,25,12,20.543388
28,25,6,20.535880
29,3,4,20.492353
30,15,7,20.473157
31,25,22,20.433010
32,27,29,20.349442
33,8,11,20.341415
34,5,16,20.143993
35,26,31,20.114649
36,8,1,20.079682
37,1,4,20.065083
38,1,20,20.018208
39,16,29,19.940711
40,4,14,19.925218
41,31,25,19.899496
42,31,18,19.872578
43,17,18,19.847830
44,0,7,19.835358
45,25,5,19.820864
46,1,12,19.745234
47,2,23,19.714534
48,31,17,19.702733
49,31,21,19.684202
50,20,8,19.678440
51,0,11,19.647007
52,25,4,19.598509
53,30,23,19.567335
54,16,31,19.526052
55,21,4,19.507669
56,4,12,19.506888
57,20,29,19.489843
58,31,19,19.482351
59,25,13,19.395364
60,21,7,19.370945
61,29,8,19.368942
62,27,14,19.332121
63,1,24,19.279617
64,19,7,19.262543
65,15,1,19.216381
66,0,17,19.202102
67,25,20,19.200520
68,21,10,19.156259
69,27,22,19.146706
70,31,5,19.131301
71,13,29,19.098605
72,21,29,19.083663
73,31,6,19.078887
74,24,22,19.068079
75,20,7,19.048391
76,15,0,19.015408
77,21,5,18.967434
78,31,24,18.948690
79,2,16,18.944459
80,27,4,18.885793
81,7,2,18.851127
82,0,18,18.811822
83,22,16,18.790240
84,2,22,18.782483
85,16,28,18.769724
86,20,28,18.700738
87,28,5,18.684418
88,0,10,18.613267
89,31,11,18.612720
90,0,20,18.602382
91,12,0,18.599463
92,6,9,18.592301
93,25,15,18.549514
94,25,14,18.515496
95,15,16,18.470828
96,28,27,18.468182
97,22,19,18.463655
98,24,30,18.447702
99,29,26,18.430377
100,30,17,18.421879
101,7,1,18.401189
102,0,24,18.385166
103,31,30,18.382126
104,23,15,18.374287
105,11,31,18.355807
106,6,13,18.304347
107,7,5,18.298977
108,22,17,18.297174
109,1,21,18.274957
110,17,20,18.271314
111,16,30,18.266173
112,14,8,18.255152
113,1,18,18.252133
114,19,8,18.243353
115,23,31,18.241535
116,17,30,18.232828
117,4,13,18.195884
118,17,13,18.192128
119,1,5,18.168631
120,1,19,18.164262
121,1,17,18.163106
122,12,19,18.153235
123,30,19,18.145331
124,21,6,18.111691
125,8,4,18.103324
126,4,9,18.075271
127,23,30,18.074685
128,24,17,18.058315
129,30,10,18.051028
130,28,13,18.039541
131,31,28,18.030040
132,24,28,18.012501
133,5,25,17.995084
134,2,12,17.994725
135,29,27,17.991404
136,1,3,17.987973
137,17,15,17.967966
138,13,22,17.967437
139,16,20,17.952767
140,21,9,17.946653
141,1,30,17.935238
142,24,29,17.925204
143,23,28,17.897506
144,24,13,17.867449
145,31,22,17.862373
146,14,11,17.817240
147,27,28,17.795959
148,8,22,17.790960
149,27,31,17.785642
150,1,26,17.781981
151,10,14,17.749888
152,24,31,17.724766
153,2,25,17.710460
154,15,12,17.705931
155,8,20,17.697471
156,1,16,17.679467
157,17,5,17.639279
158,23,12,17.605995
159,22,31,17.588624
160,31,4,17.588167
161,30,29,17.583139
162,1,13,17.569074
163,10,30,17.567612
164,6,12,17.566038
165,12,15,17.556810
166,6,15,17.549632
167,31,20,17.525600
168,28,22,17.509846
169,16,22,17.505696
170,9,11,17.504295
171,4,25,17.500791
172,17,19,17.450992
173,4,23,17.411055
174,3,5,17.384566
175,17,4,17.375955
176,15,5,17.358787
177,10,9,17.354246
178,23,16,17.332434
179,28,9,17.313492
180,2,7,17.305745
181,8,6,17.302813
182,4,24,17.287206
183,5,10,17.248359
184,5,8,17.243551
185,3,18,17.240008
186,15,2,17.229432
187,2,18,17.223287
188,30,21,17.218367
189,23,0,17.212949
190,2,13,17.206243
191,16,17,17.199291
192,24,18,17.153856
193,2,26,17.146937
194,23,13,17.136365
195,31,12,17.120555
196,7,27,17.114417
197,21,30,17.112771
198,6,16,17.085043
199,17,8,17.074831
200,13,24,17.063218
201,10,11,17.051359
202,12,2,17.049639
203,14,10,17.044764
204,21,31,17.037975
205,25,1,17.034753
206,6,8,17.031177
207,6,30,16.998085
208,4,15,16.985545
209,8,5,16.983229
210,14,9,16.982642
211,2,10,16.977357
212,27,9,16.972319
213,18,26,16.969113
214,7,20,16.966801
215,23,23,16.954484
216,2,20,16.941149
217,4,2,16.898382
218,9,27,16.890240
219,24,20,16.884781
220,3,16,16.865594
221,23,29,16.861987
222,6,6,16.851713
223,5,9,16.849106
224,12,16,16.829675
225,3,15,16.828952
226,24,16,16.827893
227,5,11,16.824506
228,5,31,16.814635
229,24,27,16.812801
230,2,8,16.803108
231,30,28,16.788542
232,4,17,16.788270
233,28,12,16.778483
234,27,6,16.776657
235,31,26,16.761322
236,16,23,16.745560
237,15,28,16.742139
238,1,23,16.741775
239,1,15,16.734945
240,24,19,16.731671
241,17,3,16.725437
242,19,30,16.710449
243,21,28,16.708392
244,7,17,16.700948
245,15,31,16.696654
246,17,17,16.691668
247,12,17,16.674111
248,22,3,16.671569
249,3,17,16.663674
250,17,14,16.658568
251,7,11,16.655723
252,5,12,16.646844
253,25,19,16.645762
254,4,27,16.636822
255,10,2,16.627002
256,6,31,16.621832
257,3,3,16.609867
258,3,21,16.601873
259,1,1,16.596265
260,15,4,16.592333
261,27,20,16.589901
262,11,16,16.573072
263,3,24,16.567342
264,26,17,16.560510
265,24,12,16.554099
266,31,0,16.543592
267,4,16,16.540682
268,18,25,16.537330
269,24,25,16.514796
270,18,14,16.513600
271,15,27,16.506192
272,6,10,16.504247
273,18,15,16.486432
274,19,2,16.485075
275,31,3,16.484149
276,2,27,16.467577
277,21,21,16.432974
278,20,21,16.431063
279,15,3,16.408949
280,31,15,16.408099
281,18,7,16.406774
282,3,26,16.398443
283,27,13,16.397723
284,5,30,16.380330
285,12,18,16.378667
286,21,0,16.366323
287,11,19,16.362251
288,3,20,16.353554
289,29,21,16.343008
290,31,2,16.338056
291,1,0,16.329422
292,10,29,16.323126
293,25,0,16.322255
