rank,layer_idx,head_idx,importance_score
1,31,14,53.989921
2,0,12,31.035729
3,0,3,30.304440
4,0,2,29.908470
5,0,1,27.600915
6,0,0,27.142053
7,0,31,27.099973
8,31,23,26.960993
9,28,26,25.690798
10,0,29,25.598762
11,0,6,25.022706
12,12,12,24.971190
13,5,4,24.300786
14,0,16,24.156639
15,1,6,23.960600
16,1,7,23.662675
17,14,26,23.539723
18,30,18,22.743056
19,15,30,22.607215
20,25,23,22.397206
21,30,22,22.295496
22,2,21,22.162178
23,17,18,22.016676
24,5,16,21.862597
25,31,7,21.803875
26,25,6,21.787493
27,15,7,21.780848
28,31,16,21.768649
29,25,12,21.718554
30,27,29,21.691340
31,25,22,21.687054
32,25,7,21.570065
33,3,4,21.477477
34,25,5,21.348534
35,0,7,21.340241
36,17,11,21.306287
37,20,7,21.270913
38,20,8,21.213119
39,1,12,21.181548
40,29,8,21.155300
41,31,21,21.106058
42,26,31,21.060512
43,31,25,20.944383
44,24,30,20.920022
45,30,23,20.881209
46,16,31,20.849681
47,21,10,20.828415
48,16,29,20.802970
49,4,14,20.791890
50,31,17,20.766665
51,1,20,20.737249
52,31,18,20.688201
53,25,4,20.686349
54,1,4,20.683065
55,8,1,20.657303
56,24,22,20.551015
57,19,7,20.539289
58,20,29,20.489215
59,16,28,20.486533
60,25,20,20.461761
61,28,5,20.371630
62,25,13,20.351829
63,15,1,20.316941
64,31,19,20.273191
65,27,4,20.246491
66,0,11,20.234511
67,1,24,20.233909
68,27,31,20.227937
69,23,15,20.188352
70,27,22,20.176742
71,13,29,20.176699
72,21,7,20.174928
73,31,6,20.162844
74,28,27,20.144119
75,0,18,20.112574
76,31,5,20.089287
77,22,16,20.086480
78,15,16,20.077670
79,27,14,20.061392
80,15,0,20.058672
81,30,19,20.056590
82,4,12,20.051251
83,5,25,20.028066
84,30,17,19.983649
85,29,26,19.981187
86,21,4,19.917993
87,12,0,19.916881
88,8,4,19.867291
89,29,27,19.848636
90,31,24,19.832018
91,24,29,19.820431
92,20,28,19.814574
93,21,29,19.806138
94,23,30,19.789100
95,13,22,19.783387
96,25,15,19.766953
97,2,16,19.758749
98,0,20,19.756637
99,2,23,19.717955
100,17,13,19.668937
101,22,19,19.661150
102,25,14,19.643480
103,7,2,19.601493
104,12,19,19.600648
105,6,9,19.586565
106,28,22,19.582050
107,0,10,19.575457
108,31,30,19.552595
109,21,5,19.524843
110,8,11,19.523359
111,31,22,19.517575
112,23,31,19.497977
113,4,9,19.494736
114,8,20,19.417587
115,31,28,19.408014
116,21,6,19.383486
117,7,5,19.362332
118,14,8,19.347559
119,16,30,19.345177
120,19,8,19.344943
121,17,30,19.320383
122,7,1,19.284403
123,28,13,19.260216
124,24,17,19.250097
125,30,10,19.248258
126,2,22,19.235736
127,11,31,19.206311
128,19,2,19.147814
129,6,13,19.131697
130,27,28,19.109238
131,0,24,19.094086
132,17,20,19.066264
133,17,5,19.009476
134,1,19,19.009461
135,24,31,18.980105
136,1,18,18.959334
137,23,12,18.957444
138,23,0,18.941268
139,17,15,18.927242
140,8,6,18.926386
141,23,28,18.909332
142,17,4,18.906544
143,7,20,18.903308
144,16,20,18.897013
145,22,17,18.874799
146,8,5,18.856381
147,21,9,18.839821
148,23,23,18.837752
149,2,26,18.837525
150,4,13,18.830754
151,12,15,18.807290
152,1,5,18.806023
153,15,5,18.801544
154,25,1,18.800304
155,1,21,18.800289
156,15,2,18.787693
157,30,29,18.779488
158,31,4,18.766130
159,24,13,18.764134
160,1,17,18.758350
161,10,9,18.731559
162,19,30,18.717215
163,10,11,18.702169
164,31,12,18.683411
165,0,17,18.683219
166,4,23,18.676871
167,15,4,18.665769
168,15,12,18.663204
169,8,22,18.642596
170,25,19,18.634799
171,6,12,18.628614
172,22,31,18.604824
173,1,26,18.597035
174,28,19,18.594388
175,23,16,18.562595
176,31,20,18.558931
177,6,15,18.546021
178,1,3,18.491434
179,14,11,18.460902
180,14,9,18.454809
181,31,11,18.451238
182,2,10,18.443864
183,23,13,18.438638
184,15,27,18.428430
185,17,3,18.424018
186,30,28,18.415015
187,23,29,18.404153
188,12,2,18.403715
189,13,24,18.398264
190,17,8,18.387434
191,24,28,18.378131
192,27,9,18.376063
193,16,17,18.361977
194,10,14,18.357172
195,12,16,18.316211
196,9,11,18.315416
197,3,18,18.281496
198,4,25,18.275982
199,14,10,18.261544
200,22,3,18.258504
201,28,9,18.254169
202,30,20,18.247717
203,1,13,18.239135
204,21,30,18.233369
205,1,30,18.221904
206,17,14,18.215284
207,25,0,18.211742
208,10,30,18.206570
209,24,18,18.196762
210,18,0,18.191167
211,4,15,18.182056
212,21,31,18.169305
213,30,27,18.153326
214,2,12,18.152785
215,12,29,18.151859
216,28,12,18.128438
217,13,30,18.110087
218,3,15,18.099825
219,2,7,18.099228
220,16,22,18.092811
221,7,17,18.083326
222,9,27,18.062547
223,10,25,18.058014
224,3,16,18.043903
225,2,24,18.032974
226,26,23,18.030359
227,6,30,18.029629
228,2,13,18.028303
229,24,21,18.027196
230,30,21,18.026640
231,17,7,18.023858
232,24,20,18.016497
233,22,30,18.014926
234,3,5,17.991762
235,4,24,17.991347
236,4,2,17.988719
237,0,14,17.972840
238,21,28,17.966572
239,18,25,17.965344
240,30,24,17.965012
241,1,16,17.958166
242,2,18,17.939175
243,28,31,17.934274
244,2,25,17.929815
245,17,17,17.915649
246,2,27,17.911297
247,7,11,17.881168
248,30,9,17.880256
249,6,6,17.879980
250,17,19,17.870687
251,29,16,17.839217
252,3,21,17.829075
253,11,8,17.810219
254,15,3,17.806874
255,6,16,17.797786
256,5,12,17.788038
257,18,14,17.785783
258,24,12,17.784399
259,25,3,17.768598
260,26,17,17.763141
261,30,3,17.759811
262,12,17,17.743886
263,24,27,17.742573
264,19,15,17.740428
265,27,10,17.738022
266,24,25,17.727576
267,14,23,17.714259
268,26,30,17.713041
269,27,20,17.706245
270,27,13,17.686880
271,16,4,17.686230
272,2,8,17.663786
273,28,24,17.659882
274,24,16,17.656027
275,3,3,17.633809
276,18,15,17.633548
277,13,31,17.632766
278,21,0,17.621998
279,10,8,17.599615
280,3,26,17.598122
281,18,11,17.596143
282,1,15,17.592863
283,31,26,17.584788
284,19,22,17.583498
285,5,10,17.575934
286,7,27,17.570551
287,5,0,17.564612
288,5,30,17.563756
289,24,19,17.562360
290,11,10,17.561232
291,31,0,17.560209
292,30,1,17.551368
293,4,17,17.550614
294,3,24,17.540492
295,4,27,17.531245
296,8,23,17.520348
297,18,26,17.507847
298,15,31,17.506070
299,2,28,17.504284
300,27,6,17.503798
301,3,2,17.498424
302,21,14,17.483643
303,19,10,17.460901
304,18,18,17.459307
305,16,23,17.458338
306,7,10,17.456415
307,6,8,17.454322
308,12,13,17.448942
309,5,31,17.448298
310,5,17,17.443672
311,15,11,17.399181
312,2,20,17.398821
313,0,23,17.376310
314,5,8,17.376189
315,4,4,17.371631
316,4,20,17.366810
317,7,9,17.362592
318,22,0,17.359924
319,16,3,17.358971
320,15,26,17.357595
321,21,21,17.355989
322,20,23,17.355519
323,21,19,17.353825
324,15,28,17.347530
325,29,31,17.345042
326,25,24,17.319694
327,31,13,17.318967
328,17,12,17.315168
329,12,18,17.310062
330,6,31,17.290056
331,26,21,17.285870
332,22,2,17.282980
333,28,10,17.275975
334,3,20,17.264650
335,11,19,17.260386
336,10,27,17.250055
337,2,29,17.245218
338,6,10,17.245169
339,30,31,17.241533
340,31,3,17.236903
341,13,7,17.235694
342,12,28,17.226627
343,22,24,17.218022
344,31,15,17.216188
345,11,16,17.207257
346,10,2,17.205825
347,19,21,17.199418
348,15,6,17.198934
349,28,30,17.187290
350,4,7,17.185726
351,19,9,17.177486
352,3,17,17.174537
353,1,1,17.173973
354,28,20,17.163312
355,28,25,17.162410
356,5,9,17.161820
357,23,5,17.154274
358,19,26,17.142679
359,4,16,17.138598
360,4,18,17.107726
361,23,6,17.103383
362,30,25,17.101579
363,10,4,17.098977
364,1,29,17.096678
365,28,4,17.088778
366,26,15,17.069454
367,6,27,17.067338
368,10,29,17.063658
369,24,15,17.063149
370,22,1,17.057160
371,18,30,17.056832
372,10,16,17.055216
373,29,18,17.048604
374,2,11,17.038745
375,12,23,17.035607
376,27,23,17.017737
377,2,9,17.016955
378,3,7,17.013522
379,20,9,17.012782
380,31,2,17.005715
381,14,21,16.997711
382,5,11,16.988358
383,17,16,16.982668
384,18,17,16.981054
385,11,9,16.968278
386,30,13,16.966524
387,21,12,16.965101
388,28,16,16.964826
389,3,6,16.963006
390,16,21,16.960078
391,5,28,16.959338
392,29,20,16.954420
393,18,7,16.953819
394,24,24,16.949100
395,7,12,16.947440
396,31,10,16.945882
397,26,12,16.945266
398,9,15,16.938451
399,1,23,16.936033
400,28,6,16.933105
401,31,29,16.920421
402,19,19,16.910117
403,26,14,16.909403
404,25,18,16.897915
405,4,21,16.884014
406,6,14,16.883679
407,1,0,16.874185
408,1,11,16.868351
409,29,21,16.868099
410,25,8,16.863660
411,1,27,16.861624
412,28,14,16.860522
413,25,31,16.842000
414,19,12,16.836813
415,27,12,16.832612
416,5,29,16.817302
417,27,21,16.815756
418,19,18,16.794147
419,26,3,16.790780
420,29,24,16.789136
421,7,19,16.788861
422,29,22,16.778110
423,28,7,16.777009
424,12,24,16.760471
425,30,26,16.757826
426,5,18,16.755468
427,5,13,16.754376
428,15,25,16.752309
429,20,21,16.752280
430,10,15,16.745753
431,8,21,16.744663
432,16,10,16.737164
433,2,17,16.728406
434,4,6,16.723882
435,26,11,16.723378
436,5,6,16.718588
437,29,29,16.716020
438,17,10,16.713068
439,4,8,16.708377
440,20,10,16.697345
441,7,0,16.677016
442,4,22,16.675806
443,26,19,16.668770
444,6,19,16.668304
445,19,4,16.661311
446,18,12,16.643273
447,7,16,16.636904
448,4,31,16.633344
449,31,31,16.615343
450,25,11,16.614088
451,7,4,16.613057
452,15,13,16.601861
453,5,22,16.599519
454,15,17,16.595449
455,5,15,16.587262
456,29,9,16.586607
457,23,4,16.584976
458,21,11,16.572990
459,20,27,16.568662
460,16,8,16.566067
461,22,11,16.564097
462,31,9,16.552207
463,18,4,16.544615
464,10,12,16.539840
465,16,13,16.539109
466,30,2,16.536418
467,16,9,16.533596
468,10,13,16.533017
469,23,7,16.528954
470,6,23,16.527617
471,12,3,16.520273
472,8,24,16.511254
473,12,25,16.511245
474,2,31,16.505226
475,13,21,16.467048
476,15,24,16.466233
477,5,3,16.461574
478,26,22,16.460779
479,27,8,16.459610
480,2,30,16.457002
481,3,11,16.454859
482,2,4,16.451355
483,17,21,16.446293
484,20,24,16.436427
485,14,17,16.426546
486,14,24,16.422917
487,25,21,16.419552
488,10,31,16.417458
489,28,23,16.416113
490,29,30,16.406021
491,2,2,16.405252
492,11,17,16.400229
493,5,24,16.395319
494,18,10,16.389025
495,8,25,16.388896
496,17,29,16.387615
497,6,17,16.383901
498,18,27,16.377856
499,16,18,16.373659
500,21,20,16.363073
501,22,7,16.361652
502,12,21,16.351424
503,31,1,16.347453
504,24,5,16.347074
505,5,2,16.346788
506,19,28,16.346005
507,29,0,16.342953
508,15,29,16.330811
509,6,7,16.330031
510,3,31,16.329592
511,11,30,16.326550
512,13,28,16.317804
513,30,12,16.317260
514,19,3,16.310347
515,30,0,16.307516
516,15,8,16.304498
517,3,30,16.297232
518,24,23,16.280401
519,25,29,16.275133
520,26,1,16.274327
521,26,9,16.270902
522,21,15,16.270800
523,18,24,16.262655
524,30,11,16.259595
525,6,29,16.259329
526,25,2,16.254296
527,19,13,16.249636
528,4,11,16.248152
529,17,0,16.242915
530,12,26,16.240117
531,6,22,16.227311
532,19,17,16.212609
533,2,0,16.197221
534,3,9,16.189911
535,5,27,16.178505
536,27,15,16.178457
537,29,23,16.168637
538,19,31,16.159870
539,7,29,16.152822
540,3,14,16.152619
541,3,1,16.151393
542,28,0,16.150188
543,7,23,16.149329
544,20,20,16.148751
545,11,18,16.144989
546,9,22,16.143717
547,5,1,16.128870
548,7,13,16.112656
549,3,10,16.110644
550,3,8,16.109399
551,16,14,16.104838
552,26,6,16.102357
553,12,14,16.081406
554,9,9,16.074694
555,10,10,16.073507
556,12,9,16.069172
557,7,18,16.067768
558,25,9,16.061231
559,5,5,16.060866
560,9,6,16.058707
561,17,9,16.054432
562,2,14,16.051480
563,29,25,16.038015
564,12,22,16.035536
565,11,11,16.020907
566,8,0,16.018629
567,22,15,16.017531
568,5,19,16.009227
569,12,31,16.007739
570,29,11,16.002348
571,22,10,15.998834
572,30,16,15.998376
573,1,28,15.997903
574,26,13,15.995810
575,5,14,15.991539
576,11,4,15.990539
577,30,6,15.982699
578,20,13,15.977816
579,24,7,15.976332
580,8,7,15.975500
581,15,14,15.960090
582,7,14,15.957963
583,31,27,15.955103
584,19,20,15.953371
585,20,30,15.950557
586,25,28,15.949296
587,28,18,15.945805
588,28,17,15.939246
589,6,4,15.929119
590,14,19,15.919276
591,9,10,15.912625
592,6,18,15.905282
593,7,3,15.904195
594,22,5,15.892657
595,1,14,15.880744
596,0,4,15.868878
597,23,2,15.861801
598,21,22,15.861755
599,16,11,15.859091
600,7,15,15.814601
601,27,7,15.797361
602,3,23,15.791852
603,21,25,15.791785
604,16,19,15.790523
605,19,16,15.781777
606,18,13,15.780629
607,13,27,15.778222
608,8,3,15.765902
609,10,18,15.761737
610,3,22,15.759736
611,9,5,15.754603
612,3,28,15.752247
613,23,27,15.752226
614,3,25,15.742012
615,19,27,15.733106
616,11,21,15.727940
617,30,4,15.715213
618,7,24,15.700200
619,13,6,15.688575
620,26,0,15.687406
621,11,0,15.682524
622,20,6,15.675766
623,14,25,15.675693
624,22,8,15.673808
625,9,20,15.663457
626,27,11,15.662000
627,6,11,15.657184
628,21,2,15.649666
629,2,1,15.648656
630,23,19,15.644639
631,6,0,15.642728
632,14,18,15.640019
633,3,0,15.634002
634,9,25,15.632236
635,9,16,15.622026
636,7,8,15.621653
637,19,1,15.594888
638,18,3,15.592172
639,15,23,15.582172
640,17,2,15.579811
641,6,28,15.575915
642,8,19,15.571552
643,4,1,15.569746
644,16,6,15.566449
645,18,8,15.563900
646,7,25,15.562122
647,18,9,15.560384
648,20,26,15.556585
649,22,13,15.554530
650,17,31,15.534776
651,21,26,15.533941
652,25,10,15.532360
653,29,10,15.527851
654,10,26,15.525444
655,19,25,15.516741
656,28,11,15.513423
657,0,9,15.511749
658,16,7,15.508799
659,23,25,15.506451
660,6,1,15.504120
661,26,10,15.503682
662,23,17,15.503040
663,16,12,15.496378
664,7,30,15.495960
665,21,1,15.494252
666,27,5,15.482227
667,11,23,15.480272
668,30,30,15.478637
669,9,29,15.477974
670,21,16,15.477351
671,26,29,15.473512
672,20,1,15.467572
673,18,21,15.463169
674,13,20,15.443486
675,13,4,15.443225
676,8,12,15.432292
677,28,15,15.409875
678,4,3,15.390785
679,20,31,15.387627
680,26,16,15.383944
681,23,8,15.380296
682,25,16,15.377540
683,2,15,15.364316
684,4,28,15.348662
685,12,27,15.342031
686,8,13,15.338933
687,9,4,15.338771
688,19,0,15.333409
689,19,24,15.326593
690,7,28,15.323128
691,28,28,15.310792
692,28,8,15.309445
693,17,28,15.307811
694,15,22,15.304116
695,9,13,15.284659
696,13,25,15.280195
697,9,19,15.279964
698,3,27,15.279204
699,28,1,15.274027
700,18,2,15.266208
701,10,1,15.265888
702,15,9,15.252624
703,17,26,15.246498
704,21,17,15.245552
705,8,14,15.234649
706,29,1,15.198198
707,7,22,15.198107
708,9,30,15.190150
709,29,2,15.179678
710,22,27,15.177908
711,20,15,15.176535
712,27,30,15.163241
713,14,29,15.155173
714,14,27,15.153751
715,4,29,15.146143
716,10,20,15.140644
717,9,26,15.138163
718,26,28,15.135821
719,29,3,15.128159
720,16,15,15.128085
721,9,31,15.124909
722,6,2,15.122763
723,11,12,15.122162
724,23,20,15.121204
725,21,18,15.119320
726,22,6,15.117987
727,28,29,15.112195
728,18,16,15.100756
729,9,23,15.083264
730,18,28,15.082979
731,28,21,15.082507
732,12,1,15.075713
