rank,layer_idx,head_idx,importance_score
1,31,14,47.398836
2,0,3,33.144969
3,0,12,31.384934
4,0,2,29.835315
5,0,1,29.412738
6,0,0,27.239522
7,28,26,26.731451
8,31,23,26.627673
9,0,29,26.446006
10,0,31,26.327621
11,0,6,26.234314
12,14,26,24.305774
13,15,30,24.011733
14,1,6,23.722729
15,0,7,23.603764
16,12,12,23.470181
17,30,18,23.232675
18,30,22,22.637845
19,31,19,22.320292
20,2,21,22.296329
21,1,7,22.284216
22,3,4,22.265630
23,31,7,22.193223
24,5,4,22.153635
25,5,16,22.057923
26,25,5,22.038005
27,31,25,22.002401
28,0,20,21.967531
29,25,6,21.746259
30,15,7,21.677968
31,31,5,21.612560
32,16,29,21.499039
33,25,23,21.498772
34,25,12,21.470860
35,31,24,21.405252
36,25,7,21.373823
37,27,28,21.325327
38,30,23,21.323764
39,15,1,21.257426
40,31,11,21.233884
41,25,22,21.233243
42,31,16,21.215308
43,17,11,21.079977
44,30,25,21.043248
45,17,5,20.989599
46,20,8,20.910598
47,1,12,20.851835
48,16,31,20.846664
49,16,28,20.805575
50,27,29,20.781826
51,26,31,20.772359
52,25,4,20.767986
53,27,14,20.739435
54,31,17,20.720002
55,7,1,20.708793
56,1,4,20.700300
57,31,6,20.662574
58,1,20,20.613263
59,8,1,20.608060
60,4,14,20.606823
61,21,7,20.587670
62,15,0,20.537782
63,29,8,20.491394
64,0,11,20.458797
65,1,24,20.391509
66,29,27,20.384256
67,30,0,20.318185
68,21,10,20.315272
69,17,15,20.312700
70,16,22,20.300372
71,27,22,20.266348
72,31,28,20.261427
73,25,13,20.233598
74,4,12,20.203765
75,31,21,20.203459
76,20,7,20.152280
77,7,2,20.150275
78,20,29,20.123464
79,31,18,20.108349
80,18,17,20.047896
81,25,20,20.026404
82,12,19,19.990374
83,24,22,19.951371
84,21,4,19.944176
85,4,9,19.940086
86,15,12,19.914115
87,30,17,19.895258
88,12,0,19.893479
89,21,5,19.848167
90,27,4,19.819936
91,8,4,19.818561
92,31,12,19.808582
93,8,20,19.739760
94,25,15,19.727654
95,18,18,19.717283
96,2,23,19.698331
97,7,5,19.691413
98,29,26,19.678394
99,17,13,19.670863
100,19,21,19.667018
101,0,10,19.661253
102,22,19,19.652961
103,23,30,19.651565
104,28,22,19.648509
105,19,26,19.594848
106,8,22,19.591964
107,19,8,19.583941
108,18,14,19.583712
109,23,12,19.577731
110,14,8,19.571627
111,25,14,19.566662
112,13,29,19.542730
113,31,30,19.506585
114,30,10,19.505422
115,2,22,19.492603
116,17,30,19.470912
117,2,16,19.454253
118,15,2,19.439948
