rank,layer_idx,head_idx,importance_score
1,31,14,45.269734
2,0,2,27.616447
3,0,31,25.635209
4,0,0,25.354586
5,31,23,25.193258
6,0,1,24.431106
7,28,26,24.052283
8,0,29,22.812148
9,12,12,22.432983
10,15,30,21.976868
11,14,26,21.919288
12,5,4,21.081387
13,0,6,20.828211
14,0,3,20.736575
15,25,6,20.261135
16,2,21,20.216294
17,25,7,20.021865
18,1,7,19.841750
19,25,22,19.735926
20,15,1,19.700971
21,26,31,19.693228
22,25,5,19.579893
23,25,12,19.439114
24,1,20,19.371189
25,31,16,19.365613
26,30,18,19.350049
27,1,6,19.330794
28,30,22,19.228613
29,24,22,19.206965
30,5,16,19.178562
31,25,23,19.163438
32,31,21,19.137445
33,15,7,19.131770
34,17,11,19.086605
35,25,4,19.080317
36,31,7,19.071401
37,31,25,19.032272
38,31,18,18.977172
39,3,4,18.896572
40,27,14,18.882979
41,0,11,18.881421
42,27,22,18.878491
43,25,13,18.834628
44,16,29,18.786190
45,27,4,18.763808
46,0,12,18.718851
47,1,12,18.717581
48,8,11,18.632851
49,4,14,18.617321
50,31,19,18.498285
51,8,1,18.475104
52,31,5,18.459874
53,4,12,18.432280
54,25,20,18.423215
55,0,16,18.385869
56,16,31,18.352161
57,21,4,18.337455
58,31,11,18.313493
59,1,24,18.313167
60,21,7,18.226902
61,12,0,18.221048
62,20,8,18.178820
63,31,6,18.173849
64,13,29,18.093514
65,29,8,18.065733
66,0,7,18.045541
67,25,15,18.028550
68,30,23,18.000910
69,1,4,17.971793
70,2,23,17.962475
71,2,16,17.944051
72,4,9,17.940085
73,16,28,17.939518
74,27,29,17.922371
75,28,27,17.893067
76,31,30,17.889606
77,31,24,17.871703
78,14,8,17.855774
79,24,17,17.854801
80,15,0,17.828231
81,25,14,17.810770
82,7,2,17.806402
83,17,18,17.745325
84,21,5,17.701131
85,8,4,17.681645
86,0,24,17.627919
87,19,7,17.624531
88,20,29,17.621693
89,21,29,17.596314
90,1,21,17.559649
91,6,9,17.536550
92,29,26,17.533190
93,21,10,17.515983
94,17,15,17.513779
95,0,17,17.437443
96,1,18,17.433437
97,30,17,17.398523
98,2,22,17.396919
99,23,12,17.382849
100,7,5,17.379508
101,28,13,17.358073
102,21,6,17.357061
103,11,31,17.339093
104,5,25,17.314942
105,20,28,17.304134
106,8,22,17.280677
107,12,19,17.274475
108,4,13,17.273418
109,6,13,17.271336
110,30,19,17.227453
111,31,22,17.203079
112,1,5,17.196789
113,7,1,17.170217
114,28,5,17.158541
115,29,27,17.152367
116,1,17,17.147592
117,22,31,17.140415
118,16,30,17.121297
119,24,30,17.119121
120,0,10,17.108051
121,22,16,17.104928
122,27,28,17.100268
123,31,28,17.094471
124,31,20,17.085055
125,22,19,17.078040
126,14,11,17.041059
127,15,16,17.033434
128,1,26,17.010877
129,23,31,17.008570
130,17,30,16.952488
131,19,8,16.929114
132,23,30,16.889987
133,23,15,16.875852
134,31,4,16.857586
135,10,14,16.842043
136,1,13,16.835682
137,24,13,16.829939
138,12,15,16.816225
139,14,9,16.810555
140,13,22,16.794218
141,4,23,16.792584
142,4,24,16.788212
143,0,20,16.785508
144,17,13,16.783592
145,28,22,16.767838
146,15,2,16.729989
147,23,13,16.706211
148,8,20,16.703814
149,2,18,16.692697
150,2,12,16.667016
151,9,11,16.658223
152,4,25,16.655040
153,24,20,16.639877
154,21,31,16.619592
155,23,28,16.614430
156,8,6,16.591538
157,17,8,16.582475
158,16,20,16.566084
159,8,5,16.545656
160,14,10,16.534806
161,18,14,16.530840
162,2,10,16.525223
163,17,20,16.516646
164,1,16,16.510171
165,1,30,16.508641
166,17,5,16.491750
167,2,7,16.489248
168,30,29,16.474791
169,30,10,16.472513
170,27,31,16.464082
171,6,15,16.445702
172,15,12,16.436613
173,28,9,16.435711
174,10,30,16.435245
175,1,19,16.435074
176,17,19,16.414775
177,30,21,16.379370
178,31,17,16.366708
179,30,28,16.345888
180,27,6,16.337757
181,6,30,16.329270
182,24,29,16.327245
