rank,layer_idx,head_idx,importance_score
1,31,14,45.092853
2,0,2,28.547345
3,0,3,27.736772
4,0,31,26.710434
5,0,0,26.135295
6,0,1,25.800925
7,31,23,25.425370
8,0,29,24.493939
9,28,26,24.036808
10,0,12,23.865253
11,0,6,23.693570
12,12,12,23.026771
13,0,16,22.455953
14,14,26,22.312187
15,5,4,21.883788
16,15,30,21.803614
17,1,7,21.033497
18,2,21,20.962370
19,30,18,20.262260
20,31,7,20.117499
21,5,16,20.100695
22,31,16,20.060666
23,25,23,19.961506
24,0,11,19.950362
25,25,6,19.941443
26,25,7,19.894600
27,30,22,19.852114
28,17,11,19.822462
29,1,20,19.731126
30,3,4,19.725566
31,25,12,19.636954
32,1,6,19.590820
33,31,25,19.479334
34,15,7,19.475450
35,16,29,19.269208
36,31,18,19.267597
37,25,22,19.225986
38,25,4,19.206598
39,1,12,19.165174
40,15,1,19.123021
41,0,20,19.110522
42,25,5,19.089901
43,0,7,19.084034
44,8,1,19.075934
45,31,19,19.055840
46,26,31,19.041463
47,1,4,19.019433
48,4,14,18.942884
49,27,14,18.924123
50,8,11,18.893553
51,20,8,18.883013
52,16,28,18.878955
53,1,24,18.872340
54,16,31,18.829582
55,31,21,18.818247
56,17,18,18.792572
57,4,12,18.767978
58,13,29,18.735530
59,24,22,18.730658
60,2,23,18.728675
61,27,29,18.694954
62,25,13,18.674062
63,31,6,18.655558
64,2,16,18.617794
65,30,23,18.598171
66,21,7,18.588662
67,0,17,18.567288
68,31,5,18.565284
69,0,18,18.498123
70,29,8,18.497164
71,21,4,18.441924
72,19,7,18.439604
73,27,22,18.401869
74,25,20,18.373337
75,29,26,18.365721
76,0,24,18.361855
77,15,0,18.333476
78,21,5,18.297137
79,4,9,18.252284
80,31,24,18.245196
81,27,4,18.227359
82,12,0,18.199773
83,21,29,18.176915
84,7,2,18.124074
85,20,29,18.091498
86,29,27,18.029088
87,2,22,18.025364
88,6,9,18.023005
89,15,16,18.003622
90,1,18,17.985166
91,31,28,17.984031
92,31,30,17.981029
93,7,5,17.950962
94,25,15,17.919804
95,11,31,17.919110
96,1,21,17.904305
97,1,26,17.899150
98,31,22,17.895452
99,0,10,17.879788
100,19,8,17.877165
101,28,5,17.866163
102,20,28,17.862539
103,7,1,17.855435
104,23,15,17.839353
105,12,19,17.823581
106,1,5,17.822378
107,8,4,17.814479
108,25,14,17.775897
109,27,28,17.729719
110,5,25,17.725887
111,6,13,17.716784
112,14,8,17.706430
113,17,13,17.624271
114,21,10,17.615659
115,13,22,17.604281
116,16,30,17.585045
117,8,22,17.567560
118,31,11,17.566122
119,17,15,17.557481
120,21,6,17.556736
121,22,16,17.546069
122,1,17,17.536352
123,23,31,17.527467
124,30,17,17.508691
125,15,2,17.494535
126,4,13,17.493191
127,16,20,17.484927
128,24,17,17.478075
129,22,19,17.457531
130,28,27,17.409785
131,1,13,17.378225
132,24,31,17.363125
133,28,22,17.344389
134,2,12,17.340520
135,30,10,17.324987
136,23,12,17.324031
137,4,23,17.321215
138,31,17,17.312970
139,14,11,17.291930
140,17,8,17.281438
141,17,30,17.275042
142,17,20,17.267766
143,24,13,17.261060
144,28,12,17.251334
145,28,13,17.246898
146,30,19,17.234494
147,24,30,17.227303
148,1,19,17.189863
149,23,30,17.182263
150,23,28,17.156705
151,16,17,17.103779
152,1,30,17.098368
153,16,22,17.086177
154,31,20,17.058854
155,9,11,17.035401
156,30,28,17.029806
157,8,20,17.024596
158,1,3,17.022304
159,3,15,17.017217
160,17,19,17.016967
161,10,30,17.014578
162,8,6,17.011618
163,2,18,17.008457
164,4,25,16.984772
165,2,25,16.980820
166,17,4,16.980544
167,28,9,16.941709
168,15,12,16.939050
169,1,16,16.931279
170,31,4,16.907849
171,4,24,16.905933
172,17,3,16.894625
173,2,7,16.891693
174,6,15,16.890086
175,17,5,16.884661
176,27,9,16.862857
177,24,29,16.861730
178,7,17,16.846584
179,14,10,16.845627
180,20,7,16.844847
181,7,20,16.820743
182,6,12,16.813276
183,21,31,16.790347
184,6,16,16.776993
185,7,11,16.774110
186,3,5,16.757625
187,22,31,16.743892
188,2,10,16.729272
189,31,0,16.699422
190,10,14,16.697277
191,12,15,16.681682
192,8,5,16.680187
193,21,9,16.679638
194,25,1,16.676768
195,1,15,16.674998
196,6,30,16.670268
197,14,9,16.668506
198,27,31,16.668219
199,31,26,16.664044
200,21,30,16.649601
201,24,21,16.635841
202,30,29,16.607998
203,22,3,16.591266
204,30,21,16.582532
205,10,9,16.578197
206,25,0,16.571660
207,2,8,16.570693
208,10,11,16.568311
209,18,14,16.557709
210,3,3,16.554173
211,24,28,16.548324
212,1,23,16.538358
213,2,13,16.520913
214,2,26,16.518477
215,23,13,16.518125
216,13,24,16.509162
217,22,17,16.503874
218,3,18,16.493584
219,27,13,16.456637
220,15,27,16.449141
221,19,22,16.445617
222,2,20,16.438577
223,23,0,16.436029
224,26,17,16.420972
225,15,5,16.401601
226,5,31,16.401260
227,3,24,16.395351
228,7,27,16.373665
229,24,19,16.369617
230,12,2,16.367080
231,6,8,16.364619
232,6,10,16.357626
233,5,10,16.356463
234,19,30,16.346347
235,1,1,16.345229
236,21,28,16.332747
237,17,14,16.326587
238,31,12,16.324187
239,4,2,16.320767
240,24,18,16.319837
241,4,27,16.301605
242,18,26,16.300957
243,3,26,16.294214
244,24,27,16.281279
245,4,16,16.276509
246,4,17,16.270349
247,25,3,16.265916
248,3,16,16.258786
249,3,21,16.239287
250,4,15,16.236931
251,28,31,16.234422
252,23,23,16.223703
253,31,31,16.218855
254,12,16,16.213442
255,15,4,16.207157
256,5,8,16.174582
257,31,3,16.169628
258,1,27,16.167587
259,24,20,16.147933
260,30,13,16.147810
261,23,29,16.139341
262,16,23,16.135536
263,17,17,16.126062
264,12,17,16.121671
265,3,17,16.113267
266,29,31,16.111460
267,2,17,16.111308
268,23,16,16.110813
