rank,layer_idx,head_idx,importance_score
1,31,14,42.644805
2,0,2,27.686463
3,0,0,25.069994
4,0,31,24.640776
5,31,23,22.611370
6,0,1,21.748843
7,28,26,20.468616
8,14,26,20.019360
9,12,12,19.521198
10,1,20,18.518146
11,31,25,18.479963
12,0,29,18.454471
13,2,21,18.347106
14,31,18,18.294395
15,25,22,18.207869
16,31,7,18.154058
17,25,23,18.114431
18,5,4,18.039986
19,1,7,17.937620
20,31,5,17.828855
21,0,3,17.775012
22,31,16,17.724027
23,0,6,17.716360
24,30,18,17.623773
25,0,7,17.611903
26,17,11,17.467378
27,15,7,17.423573
28,1,24,17.418296
29,30,22,17.413596
30,25,12,17.359672
31,27,14,17.309464
32,1,12,17.304870
33,25,6,17.205799
34,25,7,17.198707
35,16,29,17.180887
36,31,6,17.121780
37,25,20,17.068927
38,20,8,17.056474
39,3,4,17.043087
40,8,11,16.910867
41,1,26,16.870205
42,1,21,16.854150
43,31,19,16.840617
44,16,28,16.830245
45,0,11,16.672307
46,31,24,16.658990
47,26,31,16.618893
48,4,12,16.554432
49,31,21,16.546149
50,4,14,16.531819
51,1,18,16.525081
52,1,5,16.519120
53,16,31,16.516562
54,27,29,16.510839
55,25,5,16.493325
56,21,7,16.461733
57,14,8,16.390667
58,21,29,16.380089
59,21,4,16.361026
60,5,16,16.358886
61,21,10,16.332806
62,29,26,16.297250
63,25,4,16.271508
64,1,17,16.270267
65,19,7,16.252737
66,0,24,16.248475
67,15,0,16.204657
68,1,13,16.176517
69,2,23,16.162406
70,27,22,16.160464
71,23,30,16.140275
72,0,10,16.110867
73,1,6,16.086883
74,15,30,16.086397
75,27,4,16.082262
76,21,5,15.999294
77,1,4,15.976281
78,17,15,15.962367
79,24,22,15.953397
80,25,13,15.951582
81,31,4,15.912190
82,28,5,15.911340
83,22,16,15.906890
84,15,1,15.893860
85,20,28,15.850618
86,23,31,15.833726
87,11,31,15.828423
88,16,30,15.808287
89,29,27,15.806681
90,31,30,15.765657
91,7,5,15.745218
92,7,2,15.728413
93,30,17,15.713750
94,1,16,15.672967
95,24,30,15.634746
96,1,30,15.591666
97,27,28,15.581807
98,20,29,15.554119
99,28,27,15.534105
100,2,10,15.507780
101,17,30,15.486682
102,2,16,15.445132
103,24,13,15.427174
104,21,6,15.417464
105,12,0,15.416776
106,14,11,15.403076
107,19,8,15.389387
108,31,22,15.388242
109,2,22,15.362730
110,8,22,15.362636
111,25,14,15.361445
112,6,13,15.359146
113,25,15,15.329549
114,1,23,15.321828
115,21,9,15.306428
116,23,15,15.304009
117,17,18,15.292379
118,31,11,15.291665
119,30,23,15.289899
120,31,28,15.267796
121,1,15,15.257680
122,30,10,15.233693
123,22,19,15.202572
124,31,20,15.188645
125,14,9,15.185066
126,12,19,15.175095
127,24,17,15.168314
128,0,12,15.143187
129,23,28,15.137856
130,6,9,15.126610
131,28,13,15.097803
132,22,31,15.095004
133,4,9,15.040382
134,21,30,15.010813
135,9,11,15.004366
136,28,9,14.986847
137,1,1,14.986247
138,31,15,14.979938
139,8,1,14.968727
140,23,12,14.955012
141,4,24,14.949063
142,5,25,14.891633
143,13,29,14.883482
144,1,0,14.882841
145,31,0,14.873553
146,1,3,14.858020
