rank,layer_idx,head_idx,importance_score
1,31,14,48.821555
2,0,2,28.969448
3,0,0,26.019884
4,0,31,25.601725
5,31,23,25.245590
6,0,1,24.484930
7,0,29,23.250711
8,28,26,22.498537
9,12,12,21.494805
10,14,26,20.821085
11,5,4,20.586017
12,30,18,20.332307
13,1,7,19.893662
14,0,6,19.867229
15,25,23,19.672662
16,0,3,19.656512
17,31,25,19.643169
18,2,21,19.548472
19,31,7,19.259126
20,30,22,19.127233
21,31,18,19.083115
22,31,5,18.988613
23,1,20,18.961586
24,15,7,18.711881
25,25,22,18.618869
26,31,19,18.541097
27,0,11,18.502176
28,20,8,18.470479
29,25,6,18.433252
30,31,16,18.424132
31,17,11,18.386090
32,31,6,18.305249
33,31,24,18.248550
34,8,11,18.241949
35,1,6,18.230589
36,1,12,18.223852
37,27,29,18.206200
38,25,7,18.196603
39,27,14,18.009493
40,25,12,18.006189
41,16,29,17.976357
42,4,14,17.973543
43,1,24,17.966395
44,17,18,17.883482
45,4,12,17.767511
46,2,23,17.758826
47,0,7,17.723195
48,5,16,17.666302
49,16,28,17.652864
50,26,31,17.647208
51,3,4,17.638987
52,0,10,17.576271
53,21,4,17.575834
54,30,23,17.541805
55,19,7,17.521916
56,15,30,17.508377
57,21,5,17.453095
58,29,8,17.426021
59,25,5,17.403757
60,21,7,17.361424
61,30,17,17.361259
62,28,5,17.353775
63,25,20,17.339277
64,14,8,17.318589
65,0,12,17.248606
66,16,31,17.240878
67,15,0,17.206045
68,31,21,17.178827
69,21,10,17.145066
70,1,18,17.140970
71,0,24,17.095599
72,1,21,17.067284
73,24,22,17.058484
74,11,31,17.042828
75,25,4,17.039141
76,0,20,17.030032
77,21,29,17.019452
78,1,17,16.999512
79,17,5,16.998145
80,7,2,16.968287
81,1,4,16.959751
82,27,22,16.948911
83,1,5,16.911261
84,21,6,16.900720
85,19,8,16.898610
86,31,28,16.885205
87,27,4,16.884057
88,12,0,16.876511
89,0,17,16.806484
90,7,5,16.780444
91,25,13,16.774979
92,23,30,16.748513
93,6,9,16.728579
94,31,4,16.716837
95,27,28,16.700781
96,6,13,16.662935
97,2,16,16.652519
98,30,10,16.633253
99,15,1,16.626004
100,12,19,16.620755
101,20,29,16.581820
102,23,31,16.572277
103,31,11,16.567818
104,2,22,16.531580
105,1,13,16.501558
106,24,13,16.451328
107,7,1,16.442908
108,1,16,16.442079
109,17,15,16.426272
110,1,26,16.424959
111,1,30,16.414317
112,24,30,16.399301
113,15,16,16.396938
114,31,12,16.383766
115,17,30,16.383518
116,14,11,16.382565
117,20,28,16.374929
118,8,1,16.374753
119,8,22,16.342565
120,31,30,16.335587
121,22,31,16.324174
122,22,16,16.307272
123,28,27,16.303840
124,17,13,16.236353
125,1,19,16.219322
126,4,9,16.212062
127,1,3,16.207774
128,29,26,16.205250
129,2,12,16.197726
130,13,29,16.188159
131,17,8,16.163787
132,28,9,16.152984
133,30,19,16.151722
134,14,9,16.106528
135,31,26,16.088743
136,23,15,16.077549
137,17,20,16.073532
138,16,30,16.070426
139,21,9,16.042124
140,25,14,16.040955
141,24,17,16.012687
142,9,11,16.011552
143,25,15,16.005576
144,31,0,16.001888
145,2,7,15.991456
146,1,23,15.986817
147,8,4,15.981949
148,16,20,15.978234
149,28,22,15.978203
150,18,14,15.960441
151,31,3,15.955217
152,31,15,15.932697
153,28,13,15.904671
154,29,27,15.903316
155,10,30,15.901304
156,17,3,15.895195
157,31,22,15.882796
158,31,17,15.880461
159,6,16,15.866676
160,17,4,15.840477
161,2,25,15.837620
162,6,12,15.831894
163,4,24,15.801230
164,23,28,15.764738
165,23,12,15.722635
166,22,19,15.722487
167,6,30,15.710030
168,31,20,15.693924
169,27,9,15.691204
170,1,1,15.675251
171,0,16,15.668766
172,1,15,15.570564
173,5,25,15.557059
174,23,16,15.534822
175,4,25,15.532176
176,15,12,15.525885
177,2,20,15.524867
178,2,9,15.522390
179,24,28,15.520872
180,21,30,15.517214
181,1,0,15.506863
182,13,22,15.478711
183,12,15,15.466985
184,23,29,15.464324
185,2,13,15.455960
186,6,15,15.439618
187,6,8,15.436392
188,2,18,15.423133
189,31,2,15.411778
190,17,19,15.410153
191,2,8,15.386872
192,7,27,15.365502
193,3,16,15.365138
194,15,27,15.350373
195,24,29,15.349443
196,3,26,15.342010
197,23,13,15.331012
198,15,4,15.330847
199,4,17,15.320894
200,18,26,15.303419
201,2,17,15.288355
202,4,13,15.284773
203,8,20,15.283562
204,21,28,15.269142
205,28,31,15.259353
206,6,10,15.246970
207,22,17,15.240120
208,16,17,15.236387
209,14,10,15.222811
210,26,17,15.217569
211,12,16,15.209390
212,27,20,15.209193
213,3,17,15.208990
214,4,16,15.196172
215,1,27,15.188400
216,2,10,15.179402
217,21,19,15.179067
218,4,15,15.178577
219,10,2,15.175717
220,15,2,15.167192
221,8,6,15.162325
222,3,5,15.155690
223,15,5,15.149560
224,8,5,15.132184
225,10,14,15.116342
226,4,27,15.108466
227,29,31,15.103286
228,25,1,15.101109
229,31,9,15.100915
230,27,13,15.090173
231,5,31,15.088043
232,22,3,15.081983
233,3,18,15.066793
234,31,1,15.065752
235,31,10,15.062870
236,5,10,15.053570
237,4,23,15.050084
238,2,26,15.046751
239,7,11,15.044113
240,27,10,15.042836
241,20,7,15.036329
242,25,0,15.031193
243,28,4,15.028594
244,17,7,15.026866
245,21,31,15.023246
246,16,22,15.020586
247,16,23,15.015647
248,12,2,15.013259
249,29,16,15.002046
250,30,29,14.996744
251,5,13,14.975841
252,7,20,14.960710
253,30,20,14.959956
254,11,16,14.956731
255,28,7,14.938969
256,30,24,14.933012
257,24,15,14.926404
258,11,19,14.913232
259,15,31,14.910866
260,30,25,14.900862
261,12,18,14.879597
262,10,9,14.876618
263,30,9,14.874357
264,5,28,14.862293
265,18,15,14.855255
266,10,11,14.841314
267,5,8,14.839869
268,18,25,14.832132
269,3,24,14.831434
270,19,22,14.829172
271,1,11,14.826556
272,26,14,14.816401
273,5,29,14.792456
274,27,31,14.792210
275,19,30,14.767914
276,13,24,14.766920
277,24,31,14.761646
278,24,18,14.750734
279,17,17,14.745128
280,30,28,14.732213
281,0,14,14.723379
282,5,9,14.716850
283,2,11,14.705431
284,2,28,14.696289
285,18,7,14.689964
286,24,25,14.682513
287,3,3,14.675535
288,3,15,14.668617
289,7,17,14.666912
290,18,12,14.657687
291,28,12,14.656199
292,19,26,14.655806
293,23,0,14.655080
294,21,21,14.639408
295,24,20,14.632294
296,3,11,14.630585
297,5,30,14.622220
298,12,24,14.617563
299,6,6,14.604028
300,12,29,14.596174
301,29,29,14.587468
302,1,29,14.577648
303,20,23,14.574696
304,28,10,14.567845
305,31,31,14.567140
306,2,2,14.564990
307,26,12,14.556309
308,24,12,14.547516
309,31,13,14.534643
310,7,25,14.531556
311,2,31,14.530450
312,23,23,14.526973
313,5,12,14.523528
314,14,19,14.522936
315,29,20,14.521670
316,24,21,14.506579
317,26,9,14.504216
318,12,17,14.499939
319,8,23,14.499753
320,30,21,14.498493
321,2,30,14.474150
322,21,14,14.469566
323,25,31,14.466118
324,5,3,14.459790
325,2,27,14.446366
326,14,17,14.443550
327,18,18,14.436683
328,31,29,14.436348
329,12,13,14.435863
330,10,29,14.427262
331,29,22,14.422454
332,29,24,14.419990
333,0,23,14.415482
334,16,4,14.415206
335,6,19,14.411678
336,3,2,14.410139
337,25,29,14.408011
338,27,12,14.404930
339,5,14,14.399222
340,26,21,14.393970
341,3,7,14.392344
342,22,0,14.390890
343,20,21,14.375268
344,27,6,14.373858
345,3,6,14.373706
346,22,1,14.367382
347,25,19,14.357663
348,29,30,14.351171
349,10,15,14.350236
350,19,10,14.349033
351,25,21,14.345604
352,15,3,14.341539
353,25,28,14.329886
354,28,24,14.323690
355,4,21,14.311779
356,7,10,14.304068
357,30,1,14.295905
358,12,28,14.289100
359,15,28,14.289070
360,22,2,14.281605
361,2,29,14.274778
362,28,16,14.272484
363,31,27,14.272307
364,25,24,14.271644
365,7,0,14.266533
366,24,16,14.264861
367,17,10,14.260903
368,17,14,14.254917
369,10,12,14.250204
370,3,21,14.243184
371,29,21,14.231789
372,5,11,14.231558
373,29,18,14.218597
374,19,15,14.207987
375,4,4,14.206168
376,7,12,14.202506
377,30,27,14.201585
378,19,21,14.199293
379,29,10,14.176334
380,25,8,14.173039
381,22,24,14.167669
382,19,12,14.165633
383,21,20,14.163552
384,25,3,14.151503
385,28,19,14.133312
386,0,9,14.132817
387,4,31,14.125450
388,4,18,14.125061
389,4,2,14.124911
390,27,23,14.122745
391,18,0,14.121660
392,3,10,14.101025
393,5,2,14.099532
394,23,5,14.090942
395,5,22,14.090926
396,22,30,14.087984
397,30,3,14.087979
398,6,27,14.081145
399,2,24,14.079230
400,7,19,14.078583
401,19,9,14.071920
402,12,25,14.059294
403,15,6,14.050767
404,17,12,14.048533
405,10,31,14.037990
406,4,7,14.035963
407,16,3,14.034670
408,26,11,14.009947
409,25,11,14.005729
410,1,14,14.004593
411,24,19,13.996554
412,26,23,13.990418
413,4,22,13.981873
414,6,18,13.972052
415,3,20,13.968758
416,28,25,13.963689
417,9,9,13.962323
418,5,17,13.959599
419,0,19,13.957057
420,11,17,13.952007
421,15,25,13.948271
422,2,15,13.926771
423,0,18,13.918996
424,5,0,13.904528
425,27,15,13.889607
426,11,8,13.880259
427,21,0,13.879502
428,4,20,13.872430
429,16,14,13.867864
430,6,17,13.857955
431,30,31,13.827767
432,6,14,13.827299
433,26,30,13.823288
434,26,3,13.823150
435,30,26,13.812705
436,30,0,13.811858
437,18,17,13.811797
438,8,21,13.807822
439,14,23,13.798611
440,1,25,13.796054
441,6,7,13.790138
442,2,0,13.789922
443,24,5,13.789629
444,24,24,13.786617
445,11,10,13.781811
446,10,25,13.781286
447,12,23,13.776197
448,9,10,13.770056
449,12,26,13.767601
450,10,16,13.758732
451,17,16,13.756314
452,7,23,13.754667
453,25,10,13.746412
454,15,17,13.742026
455,6,11,13.739233
456,23,6,13.738972
457,26,1,13.738137
458,5,18,13.731217
459,17,2,13.720522
460,6,31,13.718530
461,16,7,13.697679
462,24,27,13.695714
463,12,22,13.692763
464,15,13,13.689897
465,7,9,13.688397
466,27,8,13.669835
467,10,7,13.666912
